ShiftId,EmployeeId,SiteId,ShiftType,ShiftStartedAt,ShiftEndedAt,ShiftDurationHours,ExpectedProductiveHours,ActualProductiveHours
SHF-006701,EMP-0385,SIT-0002,Missed,2025-12-26 15:00:00,2025-12-26 21:00:00,6.0,3.7800000000000002,4.5600000000000005
SHF-018106,EMP-0199,SIT-0008,Attended,2025-02-26 09:00:00,2025-02-26 17:00:00,8.0,5.68,6.88
SHF-015631,EMP-0479,SIT-0010,Attended,2025-07-23 00:00:00,2025-07-23 05:00:00,5.0,4.6000000000000005,4.4
SHF-014507,EMP-0095,SIT-0010,Missed,2025-07-26 04:00:00,2025-07-26 11:00:00,7.0,5.390000000000001,4.760000000000001
SHF-017084,EMP-0347,SIT-0004,Attended,2025-02-27 22:00:00,2025-02-28 06:00:00,8.0,7.52,8.0
SHF-008536,EMP-0370,SIT-0006,Attended,2025-02-03 09:00:00,2025-02-03 13:00:00,4.0,3.16,3.76
SHF-002041,EMP-0398,SIT-0002,Attended,2025-10-25 14:00:00,2025-10-25 17:00:00,3.0,2.55,2.13
SHF-017980,EMP-0206,SIT-0009,Unplanned,2025-01-31 01:00:00,2025-01-31 05:00:00,4.0,2.64,3.12
SHF-000461,EMP-0396,SIT-0006,Unplanned,2025-08-19 17:00:00,2025-08-19 23:00:00,6.0,4.62,4.9799999999999995
SHF-003057,EMP-0223,SIT-0003,Attended,2025-04-18 01:00:00,2025-04-18 09:00:00,8.0,5.2,8.0
SHF-013069,EMP-0104,SIT-0002,Attended,2025-02-26 04:00:00,2025-02-26 12:00:00,8.0,7.52,6.64
SHF-000038,EMP-0164,SIT-0003,Attended,2025-09-03 05:00:00,2025-09-03 12:00:00,7.0,5.18,4.55
SHF-016174,EMP-0193,SIT-0007,Missed,2025-11-03 05:00:00,2025-11-03 08:00:00,3.0,2.55,2.55
SHF-010917,EMP-0019,SIT-0003,Missed,2025-09-22 21:00:00,2025-09-23 03:00:00,6.0,3.7800000000000002,4.86
SHF-007993,EMP-0441,SIT-0009,Attended,2025-07-31 15:00:00,2025-07-31 20:00:00,5.0,3.3000000000000003,3.95
SHF-010657,EMP-0430,SIT-0008,Missed,2025-10-13 09:00:00,2025-10-13 17:00:00,8.0,5.28,6.24
SHF-002064,EMP-0491,SIT-0004,Attended,2025-09-11 21:00:00,2025-09-12 04:00:00,7.0,5.739999999999999,5.18
SHF-006261,EMP-0159,SIT-0008,Missed,2025-05-26 12:00:00,2025-05-26 20:00:00,8.0,5.44,7.04
SHF-018597,EMP-0158,SIT-0004,Attended,2025-01-07 21:00:00,2025-01-08 05:00:00,8.0,4.96,6.32
SHF-007265,EMP-0320,SIT-0008,Attended,2025-07-23 15:00:00,2025-07-23 23:00:00,8.0,6.72,6.4
SHF-007819,EMP-0218,SIT-0007,Attended,2025-04-29 01:00:00,2025-04-29 05:00:00,4.0,2.48,3.96
SHF-004670,EMP-0489,SIT-0010,Attended,2025-08-09 10:00:00,2025-08-09 16:00:00,6.0,3.96,4.14
SHF-017793,EMP-0201,SIT-0006,Attended,2025-04-19 23:00:00,2025-04-20 06:00:00,7.0,5.6000000000000005,5.109999999999999
SHF-014680,EMP-0203,SIT-0005,Attended,2025-08-10 04:00:00,2025-08-10 08:00:00,4.0,2.72,3.4
SHF-002989,EMP-0269,SIT-0009,Attended,2025-10-19 20:00:00,2025-10-20 00:00:00,4.0,3.56,4.0
SHF-002637,EMP-0444,SIT-0008,Attended,2025-02-12 06:00:00,2025-02-12 12:00:00,6.0,5.64,4.9799999999999995
SHF-010488,EMP-0391,SIT-0003,Unplanned,2025-10-07 08:00:00,2025-10-07 16:00:00,8.0,6.4,7.28
SHF-016645,EMP-0305,SIT-0002,Attended,2025-04-20 16:00:00,2025-04-20 23:00:00,7.0,5.81,4.34
SHF-016033,EMP-0400,SIT-0006,Missed,2025-01-27 16:00:00,2025-01-27 21:00:00,5.0,4.050000000000001,4.4
SHF-003574,EMP-0451,SIT-0007,Attended,2025-11-14 16:00:00,2025-11-15 00:00:00,8.0,7.36,8.0
SHF-009878,EMP-0342,SIT-0007,Attended,2025-02-18 05:00:00,2025-02-18 10:00:00,5.0,3.95,3.0
SHF-018064,EMP-0216,SIT-0006,Attended,2025-03-23 22:00:00,2025-03-24 01:00:00,3.0,2.0999999999999996,2.7600000000000002
SHF-009539,EMP-0194,SIT-0008,Attended,2025-11-12 00:00:00,2025-11-12 03:00:00,3.0,2.82,1.98
SHF-004090,EMP-0262,SIT-0005,Attended,2025-12-30 00:00:00,2025-12-30 07:00:00,7.0,5.25,6.37
SHF-017939,EMP-0038,SIT-0006,Attended,2025-11-30 14:00:00,2025-11-30 17:00:00,3.0,2.25,2.37
SHF-010904,EMP-0406,SIT-0005,Attended,2025-11-05 02:00:00,2025-11-05 07:00:00,5.0,4.2,4.5
SHF-017705,EMP-0268,SIT-0008,Attended,2025-07-25 05:00:00,2025-07-25 09:00:00,4.0,2.88,2.44
SHF-006659,EMP-0351,SIT-0008,Unplanned,2025-10-29 23:00:00,2025-10-30 04:00:00,5.0,4.5,4.1
SHF-019766,EMP-0390,SIT-0002,Unplanned,2025-11-15 11:00:00,2025-11-15 18:00:00,7.0,4.41,6.79
SHF-017932,EMP-0410,SIT-0010,Attended,2025-06-13 16:00:00,2025-06-13 21:00:00,5.0,4.55,3.7
SHF-019256,EMP-0003,SIT-0008,Attended,2025-09-05 12:00:00,2025-09-05 15:00:00,3.0,2.2800000000000002,1.92
SHF-009426,EMP-0296,SIT-0005,Attended,2025-01-29 03:00:00,2025-01-29 06:00:00,3.0,2.04,2.07
SHF-014582,EMP-0350,SIT-0001,Attended,2025-12-20 03:00:00,2025-12-20 08:00:00,5.0,4.75,4.25
SHF-003003,EMP-0250,SIT-0008,Attended,2025-09-21 06:00:00,2025-09-21 14:00:00,8.0,5.52,5.68
SHF-019540,EMP-0189,SIT-0010,Missed,2025-02-02 16:00:00,2025-02-02 23:00:00,7.0,5.53,5.95
SHF-012613,EMP-0375,SIT-0004,Missed,2025-04-11 22:00:00,2025-04-12 01:00:00,3.0,2.67,1.7999999999999998
SHF-010389,EMP-0290,SIT-0007,Attended,2025-10-11 16:00:00,2025-10-11 20:00:00,4.0,3.16,3.04
SHF-018863,EMP-0126,SIT-0001,Attended,2025-03-13 16:00:00,2025-03-14 00:00:00,8.0,5.04,6.0
SHF-007934,EMP-0107,SIT-0008,Attended,2025-10-11 03:00:00,2025-10-11 06:00:00,3.0,2.79,1.92
SHF-009514,EMP-0198,SIT-0006,Attended,2025-01-07 10:00:00,2025-01-07 17:00:00,7.0,4.69,6.72
SHF-006026,EMP-0418,SIT-0001,Attended,2025-03-12 07:00:00,2025-03-12 12:00:00,5.0,3.5999999999999996,3.4000000000000004
SHF-006206,EMP-0258,SIT-0010,Attended,2025-03-21 19:00:00,2025-03-22 00:00:00,5.0,3.15,4.35
SHF-006119,EMP-0324,SIT-0004,Attended,2025-02-16 10:00:00,2025-02-16 17:00:00,7.0,5.04,4.48
SHF-001081,EMP-0100,SIT-0006,Attended,2025-05-27 06:00:00,2025-05-27 11:00:00,5.0,4.75,4.85
SHF-008522,EMP-0474,SIT-0010,Attended,2025-06-16 05:00:00,2025-06-16 08:00:00,3.0,2.19,2.0100000000000002
SHF-015615,EMP-0287,SIT-0010,Attended,2025-03-02 00:00:00,2025-03-02 04:00:00,4.0,3.8,2.48
SHF-002264,EMP-0471,SIT-0008,Attended,2025-10-22 16:00:00,2025-10-22 20:00:00,4.0,2.96,3.68
SHF-002944,EMP-0334,SIT-0007,Attended,2025-06-17 10:00:00,2025-06-17 13:00:00,3.0,1.7999999999999998,2.34
SHF-004268,EMP-0217,SIT-0003,Attended,2025-01-18 08:00:00,2025-01-18 14:00:00,6.0,4.5600000000000005,6.0
SHF-004901,EMP-0105,SIT-0003,Attended,2025-12-13 12:00:00,2025-12-13 16:00:00,4.0,3.6,2.64
SHF-001267,EMP-0252,SIT-0009,Attended,2025-08-13 09:00:00,2025-08-13 13:00:00,4.0,3.36,3.2
SHF-002630,EMP-0046,SIT-0005,Attended,2025-06-05 15:00:00,2025-06-05 23:00:00,8.0,6.88,7.36
SHF-017715,EMP-0209,SIT-0002,Attended,2025-03-28 13:00:00,2025-03-28 18:00:00,5.0,3.5999999999999996,3.3000000000000003
SHF-012822,EMP-0198,SIT-0002,Attended,2025-03-23 15:00:00,2025-03-23 21:00:00,6.0,4.800000000000001,5.5200000000000005
SHF-017190,EMP-0081,SIT-0008,Attended,2025-12-30 16:00:00,2025-12-30 19:00:00,3.0,2.58,1.83
SHF-009032,EMP-0162,SIT-0002,Attended,2025-09-03 09:00:00,2025-09-03 12:00:00,3.0,2.43,1.8900000000000001
SHF-017099,EMP-0080,SIT-0010,Attended,2025-06-27 06:00:00,2025-06-27 13:00:00,7.0,6.37,5.67
SHF-007717,EMP-0375,SIT-0007,Attended,2025-05-28 04:00:00,2025-05-28 11:00:00,7.0,5.739999999999999,5.46
SHF-007052,EMP-0003,SIT-0005,Unplanned,2025-01-14 11:00:00,2025-01-14 16:00:00,5.0,3.95,4.45
SHF-019327,EMP-0020,SIT-0007,Attended,2025-01-22 06:00:00,2025-01-22 13:00:00,7.0,6.58,4.69
SHF-013744,EMP-0028,SIT-0001,Missed,2025-08-31 01:00:00,2025-08-31 09:00:00,8.0,7.2,5.76
SHF-018996,EMP-0343,SIT-0006,Attended,2025-01-31 17:00:00,2025-01-31 22:00:00,5.0,4.699999999999999,4.65
SHF-009019,EMP-0315,SIT-0006,Attended,2025-02-27 14:00:00,2025-02-27 18:00:00,4.0,3.8,3.92
SHF-014765,EMP-0249,SIT-0004,Attended,2025-07-09 22:00:00,2025-07-10 02:00:00,4.0,3.72,3.56
SHF-016144,EMP-0401,SIT-0006,Missed,2025-02-13 18:00:00,2025-02-14 02:00:00,8.0,6.96,5.44
SHF-011711,EMP-0171,SIT-0002,Unplanned,2025-05-25 10:00:00,2025-05-25 15:00:00,5.0,4.0,4.45
SHF-002700,EMP-0350,SIT-0004,Attended,2025-02-22 08:00:00,2025-02-22 12:00:00,4.0,3.76,3.76
SHF-010628,EMP-0492,SIT-0003,Attended,2025-12-25 11:00:00,2025-12-25 17:00:00,6.0,4.4399999999999995,4.800000000000001
SHF-003780,EMP-0335,SIT-0002,Attended,2025-05-30 14:00:00,2025-05-30 21:00:00,7.0,4.27,4.97
SHF-015940,EMP-0284,SIT-0004,Missed,2025-12-29 16:00:00,2025-12-29 21:00:00,5.0,4.1,4.4
SHF-019238,EMP-0395,SIT-0010,Attended,2025-08-22 02:00:00,2025-08-22 05:00:00,3.0,2.19,2.7
SHF-010987,EMP-0032,SIT-0010,Attended,2025-05-03 02:00:00,2025-05-03 10:00:00,8.0,6.64,5.52
SHF-006239,EMP-0348,SIT-0008,Attended,2025-04-02 04:00:00,2025-04-02 11:00:00,7.0,5.81,6.23
SHF-007964,EMP-0361,SIT-0010,Attended,2025-10-23 11:00:00,2025-10-23 15:00:00,4.0,3.0,3.0
SHF-000532,EMP-0300,SIT-0001,Attended,2025-02-07 20:00:00,2025-02-07 23:00:00,3.0,1.92,2.52
SHF-008882,EMP-0199,SIT-0002,Unplanned,2025-01-30 05:00:00,2025-01-30 12:00:00,7.0,5.18,4.41
SHF-003839,EMP-0326,SIT-0009,Attended,2025-03-01 21:00:00,2025-03-02 04:00:00,7.0,5.81,5.32
SHF-007225,EMP-0048,SIT-0005,Attended,2025-09-05 04:00:00,2025-09-05 09:00:00,5.0,4.699999999999999,4.45
SHF-012192,EMP-0436,SIT-0010,Attended,2025-08-08 15:00:00,2025-08-08 23:00:00,8.0,6.24,6.08
SHF-005587,EMP-0368,SIT-0007,Attended,2025-08-23 09:00:00,2025-08-23 17:00:00,8.0,7.2,4.96
SHF-010897,EMP-0075,SIT-0003,Attended,2025-08-23 14:00:00,2025-08-23 22:00:00,8.0,7.52,6.72
SHF-013964,EMP-0367,SIT-0003,Attended,2025-06-14 11:00:00,2025-06-14 17:00:00,6.0,4.0200000000000005,3.7199999999999998
SHF-002038,EMP-0001,SIT-0001,Attended,2025-05-10 22:00:00,2025-05-11 06:00:00,8.0,7.6,7.84
SHF-003297,EMP-0273,SIT-0005,Attended,2025-04-20 04:00:00,2025-04-20 12:00:00,8.0,6.32,4.96
SHF-004796,EMP-0372,SIT-0002,Unplanned,2025-02-10 17:00:00,2025-02-10 23:00:00,6.0,4.38,4.4399999999999995
SHF-007169,EMP-0347,SIT-0005,Attended,2025-09-17 22:00:00,2025-09-18 05:00:00,7.0,4.34,6.09
SHF-001483,EMP-0129,SIT-0007,Missed,2025-12-01 02:00:00,2025-12-01 07:00:00,5.0,3.4000000000000004,4.55
SHF-018805,EMP-0345,SIT-0010,Attended,2025-05-22 09:00:00,2025-05-22 16:00:00,7.0,5.32,6.58
SHF-017505,EMP-0387,SIT-0007,Attended,2025-07-27 00:00:00,2025-07-27 07:00:00,7.0,4.69,6.02
SHF-019732,EMP-0041,SIT-0005,Attended,2025-05-02 12:00:00,2025-05-02 19:00:00,7.0,4.48,4.2
SHF-002425,EMP-0399,SIT-0001,Attended,2025-04-20 01:00:00,2025-04-20 06:00:00,5.0,4.0,3.05
SHF-000875,EMP-0153,SIT-0003,Missed,2025-03-02 17:00:00,2025-03-02 22:00:00,5.0,3.3000000000000003,4.35
SHF-004078,EMP-0482,SIT-0001,Attended,2025-06-09 02:00:00,2025-06-09 09:00:00,7.0,6.23,5.67
SHF-006178,EMP-0500,SIT-0001,Attended,2025-05-23 03:00:00,2025-05-23 08:00:00,5.0,3.25,4.4
SHF-018873,EMP-0216,SIT-0003,Attended,2025-03-07 10:00:00,2025-03-07 18:00:00,8.0,5.04,6.96
SHF-003923,EMP-0371,SIT-0001,Attended,2025-11-24 03:00:00,2025-11-24 11:00:00,8.0,5.36,5.36
SHF-012820,EMP-0168,SIT-0001,Attended,2025-10-10 03:00:00,2025-10-10 06:00:00,3.0,2.79,2.31
SHF-003000,EMP-0281,SIT-0009,Attended,2025-03-26 07:00:00,2025-03-26 11:00:00,4.0,3.2,2.72
SHF-012129,EMP-0258,SIT-0004,Attended,2025-05-30 07:00:00,2025-05-30 11:00:00,4.0,3.32,2.84
SHF-003803,EMP-0281,SIT-0001,Attended,2025-01-13 08:00:00,2025-01-13 16:00:00,8.0,6.64,5.6
SHF-001193,EMP-0138,SIT-0005,Attended,2025-07-25 06:00:00,2025-07-25 11:00:00,5.0,3.15,3.1
SHF-019842,EMP-0479,SIT-0006,Attended,2025-06-03 20:00:00,2025-06-04 04:00:00,8.0,6.24,6.0
SHF-000709,EMP-0244,SIT-0003,Attended,2025-06-11 15:00:00,2025-06-11 23:00:00,8.0,6.24,7.84
SHF-006377,EMP-0359,SIT-0006,Attended,2025-04-14 15:00:00,2025-04-14 18:00:00,3.0,2.43,2.37
SHF-006062,EMP-0117,SIT-0004,Unplanned,2025-10-31 01:00:00,2025-10-31 06:00:00,5.0,4.1499999999999995,4.9
SHF-004060,EMP-0228,SIT-0008,Attended,2025-10-09 23:00:00,2025-10-10 07:00:00,8.0,6.0,5.6
SHF-015704,EMP-0178,SIT-0003,Attended,2025-07-13 17:00:00,2025-07-13 20:00:00,3.0,1.8599999999999999,1.83
SHF-006901,EMP-0024,SIT-0007,Attended,2025-08-07 16:00:00,2025-08-07 21:00:00,5.0,4.699999999999999,3.2
SHF-002002,EMP-0250,SIT-0004,Missed,2025-12-29 09:00:00,2025-12-29 14:00:00,5.0,4.050000000000001,3.85
SHF-000747,EMP-0187,SIT-0003,Attended,2025-10-16 10:00:00,2025-10-16 18:00:00,8.0,7.44,7.6
SHF-017834,EMP-0134,SIT-0003,Attended,2025-03-11 08:00:00,2025-03-11 12:00:00,4.0,3.36,2.52
SHF-013947,EMP-0490,SIT-0001,Attended,2025-07-23 02:00:00,2025-07-23 08:00:00,6.0,3.7800000000000002,4.800000000000001
SHF-003326,EMP-0030,SIT-0009,Attended,2025-09-09 07:00:00,2025-09-09 14:00:00,7.0,6.44,6.510000000000001
SHF-008518,EMP-0001,SIT-0001,Attended,2025-09-02 15:00:00,2025-09-02 20:00:00,5.0,4.5,3.75
SHF-002294,EMP-0338,SIT-0009,Missed,2025-09-12 12:00:00,2025-09-12 20:00:00,8.0,6.8,5.2
SHF-007237,EMP-0292,SIT-0006,Attended,2025-03-20 19:00:00,2025-03-20 23:00:00,4.0,3.16,3.84
SHF-002359,EMP-0493,SIT-0007,Missed,2025-09-03 23:00:00,2025-09-04 02:00:00,3.0,2.52,2.13
SHF-009866,EMP-0038,SIT-0006,Attended,2025-02-23 01:00:00,2025-02-23 07:00:00,6.0,3.9000000000000004,3.66
SHF-011479,EMP-0441,SIT-0003,Attended,2025-07-31 15:00:00,2025-07-31 21:00:00,6.0,4.92,4.92
SHF-014290,EMP-0216,SIT-0001,Attended,2025-08-23 08:00:00,2025-08-23 12:00:00,4.0,3.2,2.8
SHF-005909,EMP-0337,SIT-0007,Attended,2025-02-05 05:00:00,2025-02-05 10:00:00,5.0,4.45,4.85
SHF-002001,EMP-0173,SIT-0005,Attended,2025-02-24 09:00:00,2025-02-24 16:00:00,7.0,6.16,6.16
SHF-016504,EMP-0477,SIT-0010,Attended,2025-08-27 22:00:00,2025-08-28 03:00:00,5.0,4.75,3.05
SHF-015307,EMP-0049,SIT-0009,Unplanned,2025-04-19 20:00:00,2025-04-20 00:00:00,4.0,3.28,2.96
SHF-001291,EMP-0255,SIT-0005,Attended,2025-08-15 13:00:00,2025-08-15 16:00:00,3.0,2.7600000000000002,1.92
SHF-019546,EMP-0154,SIT-0004,Attended,2025-10-17 19:00:00,2025-10-18 03:00:00,8.0,7.2,6.16
SHF-003307,EMP-0287,SIT-0004,Attended,2025-07-09 21:00:00,2025-07-10 01:00:00,4.0,3.48,3.56
SHF-019906,EMP-0426,SIT-0003,Attended,2025-10-27 06:00:00,2025-10-27 12:00:00,6.0,4.14,5.82
SHF-006533,EMP-0258,SIT-0003,Attended,2025-04-25 03:00:00,2025-04-25 08:00:00,5.0,3.9000000000000004,4.75
SHF-008525,EMP-0388,SIT-0008,Attended,2025-06-18 21:00:00,2025-06-19 05:00:00,8.0,5.52,7.44
SHF-011750,EMP-0193,SIT-0009,Attended,2025-01-30 06:00:00,2025-01-30 11:00:00,5.0,3.15,4.25
SHF-015409,EMP-0020,SIT-0010,Attended,2025-11-19 00:00:00,2025-11-19 08:00:00,8.0,5.04,5.04
SHF-018671,EMP-0433,SIT-0003,Attended,2025-10-06 15:00:00,2025-10-06 19:00:00,4.0,2.92,3.44
SHF-005552,EMP-0212,SIT-0001,Attended,2025-02-07 00:00:00,2025-02-07 06:00:00,6.0,4.74,5.22
SHF-006666,EMP-0018,SIT-0007,Attended,2025-01-27 02:00:00,2025-01-27 10:00:00,8.0,6.96,4.96
SHF-001903,EMP-0164,SIT-0010,Attended,2025-08-09 04:00:00,2025-08-09 07:00:00,3.0,2.16,2.2800000000000002
SHF-005185,EMP-0064,SIT-0005,Attended,2025-05-01 14:00:00,2025-05-01 18:00:00,4.0,3.64,3.36
SHF-005307,EMP-0366,SIT-0002,Attended,2025-08-13 18:00:00,2025-08-14 01:00:00,7.0,5.390000000000001,5.18
SHF-011217,EMP-0480,SIT-0007,Attended,2025-05-07 13:00:00,2025-05-07 19:00:00,6.0,4.199999999999999,5.76
SHF-017350,EMP-0242,SIT-0004,Attended,2025-08-02 16:00:00,2025-08-02 23:00:00,7.0,6.3,5.46
SHF-008215,EMP-0326,SIT-0007,Attended,2025-04-05 01:00:00,2025-04-05 06:00:00,5.0,3.85,3.0
SHF-003841,EMP-0261,SIT-0002,Attended,2025-04-06 11:00:00,2025-04-06 16:00:00,5.0,3.55,4.55
SHF-019556,EMP-0118,SIT-0002,Attended,2025-03-05 19:00:00,2025-03-06 03:00:00,8.0,6.0,7.12
SHF-014494,EMP-0470,SIT-0004,Attended,2025-07-14 02:00:00,2025-07-14 09:00:00,7.0,5.109999999999999,5.739999999999999
SHF-005729,EMP-0242,SIT-0007,Attended,2025-02-07 21:00:00,2025-02-08 04:00:00,7.0,6.02,4.760000000000001
SHF-000433,EMP-0186,SIT-0004,Missed,2025-08-24 00:00:00,2025-08-24 07:00:00,7.0,5.109999999999999,5.53
SHF-015455,EMP-0187,SIT-0006,Attended,2025-07-07 01:00:00,2025-07-07 08:00:00,7.0,6.23,4.2
SHF-013432,EMP-0369,SIT-0010,Attended,2025-05-04 10:00:00,2025-05-04 18:00:00,8.0,7.6,5.68
SHF-018649,EMP-0216,SIT-0003,Attended,2025-12-24 19:00:00,2025-12-25 01:00:00,6.0,5.34,3.9000000000000004
SHF-016666,EMP-0169,SIT-0002,Missed,2025-05-23 08:00:00,2025-05-23 13:00:00,5.0,4.25,3.05
SHF-010206,EMP-0032,SIT-0005,Attended,2025-06-19 17:00:00,2025-06-19 23:00:00,6.0,5.4,5.46
SHF-011704,EMP-0268,SIT-0006,Attended,2025-07-16 20:00:00,2025-07-17 02:00:00,6.0,3.66,3.84
SHF-012736,EMP-0233,SIT-0006,Attended,2025-05-09 23:00:00,2025-05-10 05:00:00,6.0,4.32,5.699999999999999
SHF-008223,EMP-0181,SIT-0007,Attended,2025-04-28 11:00:00,2025-04-28 17:00:00,6.0,4.74,5.82
SHF-005028,EMP-0313,SIT-0003,Attended,2025-05-16 23:00:00,2025-05-17 07:00:00,8.0,7.28,5.6
SHF-018370,EMP-0053,SIT-0010,Attended,2025-02-11 08:00:00,2025-02-11 12:00:00,4.0,3.12,3.64
SHF-000408,EMP-0067,SIT-0001,Attended,2025-06-30 23:00:00,2025-07-01 04:00:00,5.0,3.3000000000000003,4.65
SHF-015007,EMP-0150,SIT-0006,Attended,2025-12-02 03:00:00,2025-12-02 09:00:00,6.0,5.28,5.82
SHF-002592,EMP-0027,SIT-0004,Missed,2025-02-19 19:00:00,2025-02-20 01:00:00,6.0,3.66,5.88
SHF-011008,EMP-0434,SIT-0008,Attended,2025-04-04 09:00:00,2025-04-04 12:00:00,3.0,2.64,1.8599999999999999
SHF-001498,EMP-0379,SIT-0005,Attended,2025-06-29 03:00:00,2025-06-29 07:00:00,4.0,3.64,2.44
SHF-017837,EMP-0268,SIT-0003,Attended,2025-05-26 05:00:00,2025-05-26 13:00:00,8.0,4.88,7.92
SHF-009204,EMP-0181,SIT-0005,Attended,2025-11-22 15:00:00,2025-11-22 23:00:00,8.0,6.16,6.72
SHF-004419,EMP-0265,SIT-0007,Attended,2025-07-18 11:00:00,2025-07-18 14:00:00,3.0,2.37,2.61
SHF-007869,EMP-0180,SIT-0003,Attended,2025-12-18 10:00:00,2025-12-18 17:00:00,7.0,4.48,4.41
SHF-015789,EMP-0497,SIT-0008,Attended,2025-04-25 08:00:00,2025-04-25 11:00:00,3.0,2.73,1.98
SHF-011542,EMP-0320,SIT-0002,Attended,2025-03-05 21:00:00,2025-03-06 01:00:00,4.0,3.32,3.4
SHF-009434,EMP-0262,SIT-0008,Attended,2025-07-30 01:00:00,2025-07-30 06:00:00,5.0,4.55,3.4499999999999997
SHF-011771,EMP-0309,SIT-0001,Attended,2025-11-22 23:00:00,2025-11-23 04:00:00,5.0,4.35,5.0
SHF-019343,EMP-0189,SIT-0005,Attended,2025-08-03 09:00:00,2025-08-03 14:00:00,5.0,3.9000000000000004,4.6000000000000005
SHF-004337,EMP-0242,SIT-0001,Attended,2025-12-16 09:00:00,2025-12-16 15:00:00,6.0,5.64,5.16
SHF-010168,EMP-0365,SIT-0009,Attended,2025-09-19 20:00:00,2025-09-20 02:00:00,6.0,3.96,3.96
