InvoiceId,InvoiceDate,DueDate,PaymentTerms,PaymentDate,PaymentStatus,ClientId,OreType,OreGrade,QuantityTonnes,UnitPrice,InvoiceAmount,CurrencyCode
INV-014227,2025-01-28,2025-02-27,30D,2025-02-23,Paid,CLI-0004,Coal,High,111,62,6882,CAD
INV-010362,2025-10-06,2025-11-05,30D,,Overdue,CLI-0003,Coal,High,234,70,16380,AUD
INV-006701,2025-04-14,2025-05-29,45D,,Overdue,CLI-0001,Silver,Low,518,94,48692,EUR
INV-018106,2025-04-08,2025-05-08,30D,,Unpaid,CLI-0004,Iron,High,551,67,36917,CAD
INV-015631,2025-02-09,2025-03-26,45D,2025-03-03,Paid,CLI-0001,Coal,Medium,731,99,72369,EUR
INV-014507,2025-09-05,2025-10-20,45D,,Overdue,CLI-0001,Coal,Medium,183,56,10248,USD
INV-017084,2025-03-07,2025-04-06,30D,,Unpaid,CLI-0003,Coal,Low,891,62,55242,AUD
INV-008536,2025-10-24,2025-11-23,30D,,Unpaid,CLI-0002,Silver,Medium,311,76,23636,AUD
INV-002041,2025-03-16,2025-04-30,45D,2025-03-26,Paid,CLI-0002,Coal,Low,319,79,25201,EUR
INV-017980,2025-07-23,2025-09-06,45D,,Unpaid,CLI-0003,Gold,Medium,22,58,1276,GBP
INV-000461,2025-09-11,2025-10-26,45D,2025-10-13,Paid,CLI-0011,Coal,Medium,308,52,16016,EUR
INV-003057,2025-04-17,2025-05-17,30D,2025-04-25,Paid,CLI-0001,Coal,Medium,400,85,34000,GBP
INV-013069,2025-09-18,2025-10-18,30D,,Unpaid,CLI-0001,Coal,Low,78,69,5382,EUR
INV-000038,2025-08-27,2025-09-26,30D,2025-10-01,Paid,CLI-0002,Coal,Medium,754,67,50518,AUD
INV-016174,2025-03-12,2025-04-26,45D,2025-04-24,Paid,CLI-0002,Copper,High,529,79,41791,EUR
INV-010917,2025-07-19,2025-08-18,30D,,Overdue,CLI-0003,Iron,Low,660,56,36960,EUR
INV-007993,2025-06-13,2025-07-28,45D,,Unpaid,CLI-0002,Copper,Medium,209,59,12331,GBP
INV-010657,2025-07-10,2025-08-09,30D,,Unpaid,CLI-0002,Gold,High,698,64,44672,CAD
INV-002064,2025-03-19,2025-05-03,45D,2025-04-22,Paid,CLI-0002,Coal,Medium,282,96,27072,CAD
INV-006261,2025-03-08,2025-04-07,30D,,Overdue,CLI-0004,Gold,Medium,725,77,55825,GBP
INV-018597,2025-10-14,2025-11-28,45D,,Unpaid,CLI-0002,Iron,Low,276,53,14628,GBP
INV-007265,2025-02-04,2025-03-21,45D,2025-02-27,Paid,CLI-0003,Iron,Medium,795,61,48495,EUR
INV-007819,2025-03-13,2025-04-12,30D,2025-03-21,Paid,CLI-0004,Coal,Medium,764,91,69524,USD
INV-004670,2025-08-25,2025-10-09,45D,2025-10-09,Paid,CLI-0001,Coal,Low,147,72,10584,GBP
INV-017793,2025-08-27,2025-09-26,30D,,Overdue,CLI-0003,Coal,Medium,75,90,6750,GBP
INV-014680,2025-01-17,2025-03-03,45D,2025-01-23,Paid,CLI-0003,Iron,Low,874,99,86526,EUR
INV-002989,2025-06-12,2025-07-12,30D,,Unpaid,CLI-0001,Coal,High,714,82,58548,GBP
INV-002637,2025-04-24,2025-06-08,45D,,Overdue,CLI-0003,Coal,Low,103,95,9785,GBP
INV-010488,2025-09-30,2025-10-30,30D,,Overdue,CLI-0001,Coal,Low,573,57,32661,USD
INV-016645,2025-10-10,2025-11-24,45D,2025-10-30,Paid,CLI-0002,Nickel,High,359,88,31592,USD
INV-016033,2025-10-08,2025-11-07,30D,,Unpaid,CLI-0002,Coal,High,646,72,46512,USD
INV-003574,2025-02-07,2025-03-09,30D,,Unpaid,CLI-0009,Coal,Medium,677,59,39943,EUR
INV-009878,2025-07-23,2025-09-06,45D,,Unpaid,CLI-0001,Coal,Medium,480,57,27360,AUD
INV-018064,2025-01-23,2025-02-22,30D,2025-01-23,Paid,CLI-0003,Coal,Medium,615,63,38745,EUR
INV-009539,2025-03-24,2025-05-08,45D,,Overdue,CLI-0003,Coal,Low,552,51,28152,USD
INV-004090,2025-09-30,2025-11-14,45D,,Unpaid,CLI-0003,Coal,Low,946,64,60544,AUD
INV-017939,2025-04-21,2025-05-21,30D,2025-06-08,Paid,CLI-0003,Coal,Medium,480,93,44640,CAD
INV-010904,2025-10-16,2025-11-30,45D,,Unpaid,CLI-0004,Coal,High,443,67,29681,CAD
INV-017705,2025-03-19,2025-04-18,30D,,Unpaid,CLI-0001,Coal,High,388,91,35308,AUD
INV-006659,2025-08-31,2025-10-15,45D,2025-10-18,Paid,CLI-0002,Coal,Low,555,91,50505,GBP
INV-019766,2025-05-04,2025-06-18,45D,,Unpaid,CLI-0002,Nickel,Low,149,98,14602,CAD
INV-017932,2025-06-04,2025-07-04,30D,2025-07-01,Paid,CLI-0003,Coal,Medium,764,67,51188,USD
INV-019256,2025-08-18,2025-10-02,45D,,Overdue,CLI-0008,Coal,Medium,381,77,29337,USD
INV-009426,2025-03-14,2025-04-13,30D,2025-04-15,Paid,CLI-0001,Coal,Medium,487,99,48213,EUR
INV-014582,2025-08-06,2025-09-20,45D,,Overdue,CLI-0020,Coal,Medium,46,82,3772,EUR
INV-003003,2025-10-26,2025-11-25,30D,,Overdue,CLI-0002,Gold,Low,123,58,7134,USD
INV-019540,2025-07-12,2025-08-11,30D,,Overdue,CLI-0002,Coal,High,480,50,24000,GBP
INV-012613,2025-04-10,2025-05-10,30D,,Overdue,CLI-0009,Gold,Low,93,94,8742,CAD
INV-010389,2025-02-22,2025-03-24,30D,,Overdue,CLI-0003,Coal,Low,264,50,13200,USD
INV-018863,2025-10-19,2025-11-18,30D,,Unpaid,CLI-0003,Iron,Medium,624,85,53040,CAD
INV-007934,2025-09-26,2025-11-10,45D,,Unpaid,CLI-0001,Coal,High,284,78,22152,EUR
INV-009514,2025-08-25,2025-10-09,45D,,Unpaid,CLI-0001,Gold,High,409,100,40900,GBP
INV-006026,2025-09-15,2025-10-30,45D,,Unpaid,CLI-0004,Iron,Medium,881,91,80171,CAD
INV-006206,2025-02-27,2025-03-29,30D,,Unpaid,CLI-0005,Iron,Medium,129,82,10578,EUR
INV-006119,2025-10-09,2025-11-08,30D,,Overdue,CLI-0002,Iron,Low,107,66,7062,CAD
INV-001081,2025-08-20,2025-09-19,30D,2025-09-05,Paid,CLI-0003,Gold,Low,708,83,58764,USD
INV-008522,2025-09-11,2025-10-11,30D,2025-09-27,Paid,CLI-0001,Silver,Low,928,59,54752,CAD
INV-015615,2025-10-03,2025-11-17,45D,,Unpaid,CLI-0003,Coal,Medium,764,97,74108,USD
INV-002264,2025-10-08,2025-11-22,45D,2025-10-18,Paid,CLI-0004,Gold,Medium,782,80,62560,CAD
INV-002944,2025-01-26,2025-02-25,30D,2025-03-08,Paid,CLI-0002,Coal,Medium,987,93,91791,AUD
INV-004268,2025-02-08,2025-03-10,30D,,Unpaid,CLI-0001,Coal,Low,173,84,14532,GBP
INV-004901,2025-02-24,2025-03-26,30D,2025-03-27,Paid,CLI-0014,Coal,High,530,76,40280,CAD
INV-001267,2025-10-11,2025-11-25,45D,2025-10-14,Paid,CLI-0002,Coal,Low,468,84,39312,EUR
INV-002630,2025-08-21,2025-10-05,45D,2025-08-28,Paid,CLI-0003,Coal,Low,146,65,9490,GBP
INV-017715,2025-07-09,2025-08-23,45D,,Overdue,CLI-0003,Silver,High,729,81,59049,GBP
INV-012822,2025-06-21,2025-08-05,45D,,Overdue,CLI-0003,Coal,Medium,824,82,67568,USD
INV-017190,2025-05-01,2025-06-15,45D,,Overdue,CLI-0003,Iron,Low,759,90,68310,CAD
INV-009032,2025-10-21,2025-12-05,45D,,Unpaid,CLI-0014,Iron,Low,746,71,52966,AUD
INV-017099,2025-04-06,2025-05-21,45D,,Unpaid,CLI-0001,Coal,Low,733,61,44713,CAD
INV-007717,2025-05-10,2025-06-09,30D,,Unpaid,CLI-0003,Coal,High,304,93,28272,AUD
INV-007052,2025-02-16,2025-04-02,45D,2025-03-08,Paid,CLI-0004,Coal,High,213,59,12567,AUD
INV-019327,2025-02-22,2025-04-08,45D,,Overdue,CLI-0003,Coal,High,288,82,23616,GBP
INV-013744,2025-05-01,2025-06-15,45D,,Unpaid,CLI-0004,Coal,Low,821,95,77995,GBP
INV-018996,2025-10-14,2025-11-13,30D,2025-11-24,Paid,CLI-0004,Coal,Low,288,56,16128,CAD
INV-009019,2025-04-22,2025-05-22,30D,,Overdue,CLI-0002,Coal,Medium,10,50,500,GBP
INV-014765,2025-07-31,2025-08-30,30D,,Unpaid,CLI-0019,Coal,Low,293,88,25784,GBP
INV-016144,2025-03-28,2025-05-12,45D,,Overdue,CLI-0004,Iron,Low,427,88,37576,USD
INV-011711,2025-05-01,2025-05-31,30D,,Overdue,CLI-0003,Gold,Medium,392,72,28224,USD
INV-002700,2025-05-29,2025-07-13,45D,2025-06-14,Paid,CLI-0004,Coal,Low,717,96,68832,EUR
INV-010628,2025-08-27,2025-09-26,30D,,Unpaid,CLI-0001,Coal,High,713,95,67735,CAD
INV-003780,2025-09-10,2025-10-10,30D,,Unpaid,CLI-0004,Coal,High,85,53,4505,GBP
INV-015940,2025-04-08,2025-05-08,30D,,Unpaid,CLI-0002,Coal,Low,899,63,56637,AUD
INV-019238,2025-09-26,2025-10-26,30D,2025-11-02,Paid,CLI-0002,Coal,High,957,81,77517,GBP
INV-010987,2025-01-17,2025-02-16,30D,2025-02-07,Paid,CLI-0003,Coal,Low,851,66,56166,USD
INV-006239,2025-01-17,2025-02-16,30D,,Overdue,CLI-0020,Coal,Medium,352,63,22176,EUR
INV-007964,2025-04-30,2025-06-14,45D,,Overdue,CLI-0002,Coal,Medium,312,53,16536,EUR
INV-000532,2025-04-17,2025-06-01,45D,2025-04-27,Paid,CLI-0004,Coal,Medium,996,99,98604,GBP
INV-008882,2025-09-26,2025-11-10,45D,,Overdue,CLI-0002,Iron,Medium,138,66,9108,GBP
INV-003839,2025-02-03,2025-03-20,45D,,Unpaid,CLI-0003,Coal,Medium,345,68,23460,USD
INV-007225,2025-02-25,2025-04-11,45D,,Overdue,CLI-0002,Copper,High,242,57,13794,GBP
INV-012192,2025-03-22,2025-04-21,30D,2025-05-10,Paid,CLI-0002,Nickel,Medium,745,68,50660,CAD
INV-005587,2025-10-25,2025-12-09,45D,,Unpaid,CLI-0005,Iron,Medium,951,77,73227,USD
INV-010897,2025-01-13,2025-02-27,45D,2025-02-22,Paid,CLI-0001,Iron,Medium,149,69,10281,USD
INV-013964,2025-04-02,2025-05-02,30D,,Overdue,CLI-0004,Silver,Medium,97,64,6208,USD
INV-002038,2025-08-28,2025-09-27,30D,,Unpaid,CLI-0001,Diamond,Low,96,62,5952,USD
INV-003297,2025-05-22,2025-07-06,45D,2025-06-22,Paid,CLI-0003,Coal,High,118,79,9322,USD
INV-004796,2025-04-08,2025-05-23,45D,,Unpaid,CLI-0001,Copper,Medium,136,97,13192,EUR
INV-007169,2025-02-23,2025-03-25,30D,,Unpaid,CLI-0002,Coal,High,902,84,75768,EUR
INV-001483,2025-06-08,2025-07-23,45D,,Unpaid,CLI-0001,Coal,Low,319,52,16588,USD
INV-018805,2025-08-23,2025-09-22,30D,,Unpaid,CLI-0004,Iron,Low,10,71,710,USD
INV-017505,2025-04-24,2025-05-24,30D,2025-05-12,Paid,CLI-0003,Copper,Low,614,58,35612,USD
INV-019732,2025-07-30,2025-09-13,45D,,Overdue,CLI-0003,Coal,Medium,585,81,47385,CAD
INV-002425,2025-02-01,2025-03-03,30D,2025-02-22,Paid,CLI-0011,Iron,High,822,81,66582,GBP
INV-000875,2025-09-09,2025-10-24,45D,,Overdue,CLI-0003,Manganese,Low,308,63,19404,EUR
INV-004078,2025-06-26,2025-08-10,45D,2025-08-05,Paid,CLI-0003,Coal,Low,594,82,48708,CAD
INV-006178,2025-04-22,2025-05-22,30D,,Unpaid,CLI-0001,Coal,Low,946,90,85140,CAD
INV-018873,2025-02-07,2025-03-24,45D,2025-03-22,Paid,CLI-0003,Coal,Low,97,83,8051,GBP
INV-003923,2025-08-18,2025-09-17,30D,,Overdue,CLI-0002,Coal,Medium,790,79,62410,AUD
INV-012820,2025-01-27,2025-03-13,45D,2025-01-27,Paid,CLI-0001,Coal,Medium,828,88,72864,EUR
INV-003000,2025-01-22,2025-02-21,30D,,Overdue,CLI-0003,Coal,Medium,236,95,22420,AUD
INV-012129,2025-02-21,2025-03-23,30D,,Unpaid,CLI-0001,Manganese,Medium,222,76,16872,CAD
INV-003803,2025-02-03,2025-03-20,45D,,Unpaid,CLI-0003,Nickel,High,965,64,61760,EUR
INV-001193,2025-02-13,2025-03-30,45D,,Unpaid,CLI-0002,Gold,Medium,461,79,36419,GBP
INV-019842,2025-10-09,2025-11-23,45D,,Unpaid,CLI-0004,Coal,Low,967,65,62855,EUR
INV-000709,2025-08-08,2025-09-22,45D,2025-08-13,Paid,CLI-0003,Gold,Low,665,88,58520,USD
INV-006377,2025-06-19,2025-07-19,30D,,Unpaid,CLI-0002,Iron,High,815,77,62755,GBP
INV-006062,2025-10-13,2025-11-27,45D,2025-10-28,Paid,CLI-0002,Coal,High,946,67,63382,EUR
INV-004060,2025-04-24,2025-05-24,30D,2025-06-08,Paid,CLI-0004,Manganese,High,408,56,22848,AUD
INV-015704,2025-05-04,2025-06-03,30D,2025-06-08,Paid,CLI-0001,Coal,High,976,90,87840,USD
INV-006901,2025-04-10,2025-05-10,30D,,Unpaid,CLI-0003,Coal,Low,695,62,43090,GBP
INV-002002,2025-08-14,2025-09-28,45D,2025-08-24,Paid,CLI-0003,Coal,Low,799,95,75905,GBP
INV-000747,2025-01-10,2025-02-09,30D,2025-01-15,Paid,CLI-0009,Coal,Medium,52,54,2808,GBP
INV-017834,2025-06-23,2025-07-23,30D,2025-08-04,Paid,CLI-0002,Iron,Medium,617,50,30850,AUD
INV-013947,2025-04-11,2025-05-26,45D,,Unpaid,CLI-0003,Coal,Low,427,84,35868,GBP
INV-003326,2025-09-05,2025-10-05,30D,,Overdue,CLI-0001,Coal,Medium,302,58,17516,CAD
INV-008518,2025-10-08,2025-11-22,45D,,Unpaid,CLI-0002,Gold,High,450,75,33750,GBP
INV-002294,2025-09-27,2025-10-27,30D,2025-10-26,Paid,CLI-0002,Coal,Medium,127,54,6858,GBP
INV-007237,2025-05-09,2025-06-23,45D,2025-05-20,Paid,CLI-0004,Coal,Low,634,98,62132,EUR
INV-002359,2025-03-21,2025-04-20,30D,,Overdue,CLI-0001,Manganese,Low,480,82,39360,EUR
INV-009866,2025-07-03,2025-08-17,45D,2025-07-21,Paid,CLI-0001,Coal,High,262,71,18602,CAD
INV-011479,2025-05-10,2025-06-24,45D,2025-06-23,Paid,CLI-0018,Copper,Low,756,61,46116,AUD
INV-014290,2025-10-03,2025-11-17,45D,,Unpaid,CLI-0003,Gold,High,912,96,87552,AUD
INV-005909,2025-05-29,2025-07-13,45D,2025-07-02,Paid,CLI-0010,Gold,High,374,66,24684,EUR
INV-002001,2025-04-08,2025-05-08,30D,,Overdue,CLI-0003,Coal,High,75,50,3750,GBP
INV-016504,2025-10-12,2025-11-26,45D,,Overdue,CLI-0001,Manganese,Low,409,91,37219,USD
INV-015307,2025-09-23,2025-10-23,30D,,Unpaid,CLI-0003,Coal,Low,572,80,45760,GBP
INV-001291,2025-10-06,2025-11-05,30D,,Overdue,CLI-0001,Coal,Low,817,79,64543,CAD
INV-019546,2025-06-02,2025-07-17,45D,,Overdue,CLI-0001,Gold,Medium,203,86,17458,EUR
INV-003307,2025-01-27,2025-02-26,30D,,Unpaid,CLI-0001,Iron,High,810,96,77760,AUD
INV-019906,2025-01-20,2025-02-19,30D,,Overdue,CLI-0004,Coal,Low,720,99,71280,AUD
INV-006533,2025-05-25,2025-07-09,45D,2025-07-08,Paid,CLI-0002,Coal,Medium,615,84,51660,EUR
INV-008525,2025-01-05,2025-02-19,45D,2025-01-06,Paid,CLI-0003,Coal,Low,941,75,70575,GBP
INV-011750,2025-08-11,2025-09-10,30D,,Unpaid,CLI-0007,Iron,Medium,871,68,59228,USD
INV-015409,2025-04-26,2025-06-10,45D,,Unpaid,CLI-0002,Coal,Medium,394,82,32308,CAD
INV-018671,2025-09-22,2025-10-22,30D,,Overdue,CLI-0002,Copper,Medium,125,57,7125,AUD
INV-005552,2025-06-10,2025-07-25,45D,,Overdue,CLI-0001,Coal,Medium,32,82,2624,CAD
INV-006666,2025-02-16,2025-03-18,30D,2025-03-17,Paid,CLI-0010,Coal,Low,278,51,14178,AUD
INV-001903,2025-08-31,2025-09-30,30D,2025-09-26,Paid,CLI-0003,Coal,Low,288,77,22176,AUD
INV-005185,2025-04-28,2025-06-12,45D,2025-06-07,Paid,CLI-0003,Coal,Medium,739,59,43601,GBP
INV-005307,2025-10-20,2025-12-04,45D,2025-11-13,Paid,CLI-0004,Copper,Medium,865,77,66605,CAD
INV-011217,2025-06-02,2025-07-02,30D,,Overdue,CLI-0004,Coal,Medium,682,57,38874,CAD
INV-017350,2025-08-31,2025-10-15,45D,,Unpaid,CLI-0002,Coal,Low,24,60,1440,AUD
INV-008215,2025-01-11,2025-02-10,30D,,Unpaid,CLI-0001,Silver,High,198,54,10692,GBP
INV-003841,2025-03-04,2025-04-18,45D,,Overdue,CLI-0003,Coal,Medium,391,62,24242,AUD
INV-019556,2025-05-26,2025-06-25,30D,,Unpaid,CLI-0002,Coal,Medium,814,92,74888,GBP
INV-014494,2025-08-06,2025-09-05,30D,,Unpaid,CLI-0010,Coal,Medium,534,87,46458,CAD
INV-005729,2025-08-15,2025-09-29,45D,,Overdue,CLI-0010,Gold,Low,220,93,20460,CAD
INV-000433,2025-07-19,2025-08-18,30D,2025-08-03,Paid,CLI-0006,Iron,Low,997,96,95712,GBP
INV-015455,2025-01-14,2025-02-28,45D,,Overdue,CLI-0008,Copper,Medium,512,70,35840,EUR
INV-013432,2025-01-05,2025-02-19,45D,,Unpaid,CLI-0003,Coal,Medium,70,78,5460,EUR
INV-018649,2025-06-12,2025-07-12,30D,,Unpaid,CLI-0003,Gold,High,794,51,40494,CAD
INV-016666,2025-08-26,2025-09-25,30D,2025-09-11,Paid,CLI-0003,Coal,High,725,82,59450,CAD
INV-010206,2025-08-05,2025-09-04,30D,,Unpaid,CLI-0002,Copper,Medium,880,81,71280,CAD
INV-011704,2025-10-05,2025-11-04,30D,2025-10-06,Paid,CLI-0003,Silver,Medium,225,55,12375,AUD
INV-012736,2025-03-10,2025-04-09,30D,,Overdue,CLI-0010,Coal,Medium,563,90,50670,CAD
INV-008223,2025-08-31,2025-09-30,30D,,Overdue,CLI-0003,Iron,High,973,71,69083,CAD
INV-005028,2025-08-31,2025-09-30,30D,,Unpaid,CLI-0004,Coal,Medium,324,57,18468,GBP
INV-018370,2025-08-26,2025-10-10,45D,,Overdue,CLI-0004,Iron,High,278,62,17236,CAD
INV-000408,2025-01-31,2025-03-02,30D,,Unpaid,CLI-0002,Coal,Low,281,61,17141,GBP
INV-015007,2025-07-22,2025-08-21,30D,,Overdue,CLI-0003,Iron,Medium,698,55,38390,GBP
INV-002592,2025-04-22,2025-06-06,45D,,Overdue,CLI-0001,Coal,Medium,91,61,5551,CAD
INV-011008,2025-08-21,2025-09-20,30D,,Unpaid,CLI-0002,Coal,Low,840,81,68040,AUD
INV-001498,2025-06-29,2025-08-13,45D,,Overdue,CLI-0002,Gold,High,636,72,45792,AUD
INV-017837,2025-06-11,2025-07-11,30D,2025-06-26,Paid,CLI-0002,Coal,High,692,67,46364,GBP
INV-009204,2025-05-23,2025-06-22,30D,,Overdue,CLI-0003,Iron,High,564,53,29892,AUD
INV-004419,2025-01-28,2025-02-27,30D,,Overdue,CLI-0004,Iron,High,830,63,52290,EUR
INV-007869,2025-10-24,2025-12-08,45D,,Unpaid,CLI-0002,Silver,High,877,66,57882,GBP
INV-015789,2025-07-24,2025-08-23,30D,,Unpaid,CLI-0003,Silver,High,585,75,43875,AUD
INV-011542,2025-05-11,2025-06-25,45D,,Overdue,CLI-0002,Coal,Low,16,91,1456,USD
INV-009434,2025-05-19,2025-07-03,45D,2025-05-23,Paid,CLI-0004,Gold,High,214,50,10700,AUD
INV-011771,2025-08-27,2025-10-11,45D,,Unpaid,CLI-0014,Nickel,Low,962,52,50024,USD
INV-019343,2025-10-29,2025-11-28,30D,,Overdue,CLI-0003,Iron,Low,818,81,66258,EUR
INV-004337,2025-06-15,2025-07-30,45D,,Unpaid,CLI-0003,Copper,Low,648,52,33696,GBP
INV-010168,2025-06-18,2025-08-02,45D,,Unpaid,CLI-0004,Coal,High,685,100,68500,USD
INV-012715,2025-07-28,2025-09-11,45D,2025-08-12,Paid,CLI-0010,Coal,High,421,62,26102,EUR
INV-013580,2025-02-27,2025-04-13,45D,2025-04-04,Paid,CLI-0003,Nickel,Medium,51,59,3009,CAD
INV-002646,2025-03-06,2025-04-20,45D,,Overdue,CLI-0007,Coal,High,471,58,27318,AUD
INV-000050,2025-06-25,2025-07-25,30D,,Overdue,CLI-0002,Copper,Low,933,100,93300,CAD
INV-019484,2025-08-08,2025-09-22,45D,2025-08-30,Paid,CLI-0003,Coal,High,207,94,19458,EUR
INV-006302,2025-10-16,2025-11-15,30D,2025-11-10,Paid,CLI-0003,Gold,High,769,56,43064,AUD
INV-010958,2025-09-23,2025-11-07,45D,2025-10-13,Paid,CLI-0001,Coal,High,346,55,19030,GBP
INV-005246,2025-01-25,2025-03-11,45D,,Overdue,CLI-0001,Coal,Medium,32,60,1920,AUD
INV-007846,2025-08-18,2025-09-17,30D,2025-09-15,Paid,CLI-0003,Gold,Medium,372,85,31620,AUD
INV-007311,2025-03-26,2025-05-10,45D,2025-05-09,Paid,CLI-0002,Gold,Low,790,83,65570,AUD
INV-014685,2025-05-03,2025-06-02,30D,2025-05-26,Paid,CLI-0011,Coal,Medium,865,78,67470,AUD
INV-012408,2025-06-15,2025-07-15,30D,,Overdue,CLI-0001,Coal,Medium,745,82,61090,GBP
INV-018618,2025-01-28,2025-02-27,30D,2025-01-30,Paid,CLI-0002,Gold,High,141,99,13959,GBP
INV-019786,2025-06-12,2025-07-12,30D,2025-07-13,Paid,CLI-0015,Iron,High,524,84,44016,CAD
INV-001034,2025-09-15,2025-10-15,30D,,Unpaid,CLI-0009,Coal,High,872,65,56680,AUD
INV-013182,2025-10-15,2025-11-29,45D,,Unpaid,CLI-0001,Nickel,High,57,93,5301,AUD
INV-018595,2025-03-24,2025-05-08,45D,,Unpaid,CLI-0003,Nickel,Low,1000,59,59000,EUR
INV-013705,2025-05-08,2025-06-07,30D,2025-06-07,Paid,CLI-0002,Coal,High,843,76,64068,EUR
INV-001533,2025-08-05,2025-09-19,45D,2025-09-07,Paid,CLI-0001,Coal,High,816,55,44880,CAD
INV-005429,2025-04-29,2025-06-13,45D,2025-05-03,Paid,CLI-0004,Silver,High,597,99,59103,CAD
INV-014594,2025-06-10,2025-07-25,45D,,Overdue,CLI-0001,Silver,High,271,93,25203,USD
INV-002094,2025-09-15,2025-10-15,30D,,Unpaid,CLI-0003,Manganese,Low,444,81,35964,GBP
INV-008495,2025-05-06,2025-06-05,30D,,Unpaid,CLI-0007,Coal,Medium,322,70,22540,USD
INV-005168,2025-09-25,2025-10-25,30D,2025-11-06,Paid,CLI-0002,Coal,Low,840,81,68040,AUD
INV-014627,2025-02-01,2025-03-03,30D,,Overdue,CLI-0002,Coal,Low,56,50,2800,USD
INV-017288,2025-08-19,2025-10-03,45D,2025-08-27,Paid,CLI-0004,Coal,Medium,345,100,34500,EUR
INV-015967,2025-10-04,2025-11-03,30D,,Unpaid,CLI-0003,Coal,High,179,89,15931,CAD
INV-018397,2025-04-23,2025-06-07,45D,,Overdue,CLI-0002,Silver,Low,661,79,52219,USD
INV-000003,2025-10-30,2025-11-29,30D,2025-11-03,Paid,CLI-0001,Copper,High,540,98,52920,CAD
INV-001276,2025-06-28,2025-08-12,45D,,Unpaid,CLI-0003,Coal,Low,655,90,58950,AUD
INV-016207,2025-04-26,2025-05-26,30D,2025-05-30,Paid,CLI-0001,Copper,Low,406,57,23142,AUD
INV-010681,2025-06-02,2025-07-02,30D,,Unpaid,CLI-0002,Iron,Medium,165,71,11715,EUR
INV-010226,2025-08-07,2025-09-06,30D,,Unpaid,CLI-0001,Coal,Low,982,76,74632,GBP
