ExtractionId,SiteId,OreType,OreGrade,ExtractionDate,ShiftType,EquipmentId,QuantityTonnes,ExtractionMethod
EXT-010163,SIT-0003,Coal,High,2025-09-10,Evening,EQP-0313,184,Block Caving
EXT-003237,SIT-0002,Nickel,Medium,2025-07-24,Overnight,EQP-0061,766,Room and Pillar
EXT-002417,SIT-0001,Coal,High,2025-08-20,Evening,EQP-0212,549,Room and Pillar
EXT-010820,SIT-0002,Coal,High,2025-03-11,Overnight,EQP-0229,285,Borehole Mining
EXT-015472,SIT-0003,Coal,Medium,2025-12-09,Daytime,EQP-0242,238,Underground
EXT-018344,SIT-0008,Coal,High,2025-10-10,Daytime,EQP-0878,558,Sublevel Stoping
EXT-003300,SIT-0002,Coal,High,2025-06-17,Overnight,EQP-0428,812,Auger Mining
EXT-011594,SIT-0004,Coal,Medium,2025-11-18,Overnight,EQP-0128,405,Room and Pillar
EXT-014227,SIT-0003,Gold,Medium,2025-01-21,Evening,EQP-0216,39,Block Caving
EXT-010362,SIT-0002,Manganese,Medium,2025-02-01,Daytime,EQP-0739,564,Drift and Fill
EXT-006701,SIT-0003,Coal,High,2025-04-23,Evening,EQP-0979,57,Longwall
EXT-018106,SIT-0010,Copper,Medium,2025-01-28,Daytime,EQP-0756,470,Underground
EXT-015631,SIT-0003,Iron,High,2025-05-16,Overnight,EQP-0031,876,Block Caving
EXT-014507,SIT-0004,Iron,Medium,2025-01-23,Overnight,EQP-0137,677,Room and Pillar
EXT-017084,SIT-0006,Coal,Medium,2025-04-20,Evening,EQP-0377,551,Underground
EXT-008536,SIT-0002,Coal,High,2025-06-15,Daytime,EQP-0093,122,Open-pit
EXT-002041,SIT-0009,Coal,High,2025-10-24,Daytime,EQP-0646,343,Open-pit
EXT-017980,SIT-0001,Coal,High,2025-07-29,Overnight,EQP-0268,141,Auger Mining
EXT-000461,SIT-0002,Coal,Medium,2025-09-18,Evening,EQP-0022,693,Longwall
EXT-003057,SIT-0009,Gold,Medium,2025-09-09,Overnight,EQP-0683,341,Room and Pillar
EXT-013069,SIT-0002,Manganese,High,2025-04-08,Evening,EQP-0424,481,Block Caving
EXT-000038,SIT-0004,Gold,High,2025-03-03,Overnight,EQP-0868,838,Room and Pillar
EXT-016174,SIT-0009,Coal,Low,2025-12-17,Evening,EQP-0652,360,Borehole Mining
EXT-010917,SIT-0001,Coal,High,2025-05-07,Daytime,EQP-0900,528,Room and Pillar
EXT-007993,SIT-0001,Coal,Medium,2025-03-28,Overnight,EQP-0382,547,Open-pit
EXT-010657,SIT-0002,Coal,Medium,2025-04-01,Daytime,EQP-0288,364,Auger Mining
EXT-002064,SIT-0003,Coal,Medium,2025-08-29,Overnight,EQP-0874,466,Drift and Fill
EXT-006261,SIT-0001,Coal,Medium,2025-11-13,Evening,EQP-0418,669,Block Caving
EXT-018597,SIT-0002,Gold,Medium,2025-04-29,Evening,EQP-0760,719,Top Slicing
EXT-007265,SIT-0003,Gold,Medium,2025-01-10,Overnight,EQP-0518,75,Drift and Fill
EXT-007819,SIT-0001,Coal,Medium,2025-04-08,Daytime,EQP-0867,917,Top Slicing
EXT-004670,SIT-0004,Coal,Medium,2025-07-09,Daytime,EQP-0188,339,Drift and Fill
EXT-017793,SIT-0002,Nickel,Medium,2025-06-03,Evening,EQP-0791,195,Room and Pillar
EXT-014680,SIT-0002,Manganese,Medium,2025-02-09,Overnight,EQP-0298,429,Longwall
EXT-002989,SIT-0003,Gold,Low,2025-08-09,Overnight,EQP-0020,700,Borehole Mining
EXT-002637,SIT-0001,Iron,Medium,2025-06-18,Daytime,EQP-0050,439,Sublevel Stoping
EXT-010488,SIT-0002,Coal,Low,2025-11-29,Evening,EQP-0636,513,Drift and Fill
EXT-016645,SIT-0001,Coal,Medium,2025-04-08,Daytime,EQP-0594,825,Drift and Fill
EXT-016033,SIT-0002,Coal,Medium,2025-07-10,Daytime,EQP-0792,563,Open-pit
EXT-003574,SIT-0003,Coal,High,2025-12-08,Evening,EQP-0795,318,Open-pit
EXT-009878,SIT-0004,Silver,Low,2025-04-24,Overnight,EQP-0833,890,Underground
EXT-018064,SIT-0010,Coal,Medium,2025-07-03,Daytime,EQP-0148,556,Block Caving
EXT-009539,SIT-0003,Coal,High,2025-09-04,Overnight,EQP-0097,39,Top Slicing
EXT-004090,SIT-0003,Coal,Medium,2025-08-09,Overnight,EQP-0584,321,Sublevel Stoping
EXT-017939,SIT-0002,Coal,Medium,2025-04-05,Evening,EQP-0499,700,Top Slicing
EXT-010904,SIT-0001,Coal,Low,2025-03-08,Daytime,EQP-0690,230,Sublevel Stoping
EXT-017705,SIT-0002,Coal,Low,2025-10-23,Daytime,EQP-0299,909,Underground
EXT-006659,SIT-0004,Coal,Medium,2025-01-03,Overnight,EQP-0729,890,Drift and Fill
EXT-019766,SIT-0003,Copper,High,2025-02-07,Evening,EQP-0927,526,Sublevel Stoping
EXT-017932,SIT-0006,Gold,Medium,2025-08-29,Evening,EQP-0338,164,Room and Pillar
EXT-019256,SIT-0003,Coal,Medium,2025-06-11,Evening,EQP-0034,861,Top Slicing
EXT-009426,SIT-0001,Coal,Medium,2025-04-19,Daytime,EQP-0231,583,Open-pit
EXT-014582,SIT-0001,Coal,Medium,2025-04-16,Daytime,EQP-0936,923,Longwall
EXT-003003,SIT-0007,Coal,Medium,2025-09-10,Overnight,EQP-0789,262,Longwall
EXT-019540,SIT-0002,Coal,Medium,2025-06-28,Daytime,EQP-0321,223,Drift and Fill
EXT-012613,SIT-0001,Coal,Medium,2025-09-27,Overnight,EQP-0330,97,Drift and Fill
EXT-010389,SIT-0004,Gold,Low,2025-08-13,Daytime,EQP-0191,149,Open-pit
EXT-018863,SIT-0002,Coal,Low,2025-10-23,Overnight,EQP-0241,714,Longwall
EXT-007934,SIT-0003,Silver,High,2025-03-29,Daytime,EQP-0390,561,Borehole Mining
EXT-009514,SIT-0010,Coal,Medium,2025-05-05,Overnight,EQP-0715,39,Room and Pillar
EXT-006026,SIT-0001,Iron,High,2025-07-02,Overnight,EQP-0687,409,Borehole Mining
EXT-006206,SIT-0003,Coal,High,2025-04-29,Overnight,EQP-0634,727,Drift and Fill
EXT-006119,SIT-0002,Coal,Medium,2025-11-09,Evening,EQP-0852,88,Drift and Fill
EXT-001081,SIT-0002,Coal,Medium,2025-07-24,Daytime,EQP-0526,52,Sublevel Stoping
EXT-008522,SIT-0004,Gold,Medium,2025-12-22,Overnight,EQP-0513,563,Drift and Fill
EXT-015615,SIT-0001,Copper,Medium,2025-06-10,Daytime,EQP-0039,841,Room and Pillar
EXT-002264,SIT-0003,Coal,Medium,2025-01-19,Evening,EQP-0305,699,Drift and Fill
EXT-002944,SIT-0005,Coal,Medium,2025-05-09,Daytime,EQP-0871,518,Longwall
EXT-004268,SIT-0002,Manganese,Low,2025-12-04,Overnight,EQP-0726,312,Sublevel Stoping
EXT-004901,SIT-0010,Nickel,Medium,2025-01-24,Daytime,EQP-0125,338,Auger Mining
EXT-001267,SIT-0005,Coal,Medium,2025-06-03,Daytime,EQP-0457,525,Open-pit
EXT-002630,SIT-0002,Coal,High,2025-06-23,Daytime,EQP-0355,739,Block Caving
EXT-017715,SIT-0003,Coal,Medium,2025-02-03,Daytime,EQP-0912,132,Room and Pillar
EXT-012822,SIT-0007,Coal,Low,2025-03-17,Evening,EQP-0028,749,Top Slicing
EXT-017190,SIT-0001,Silver,Medium,2025-11-30,Daytime,EQP-0503,76,Sublevel Stoping
EXT-009032,SIT-0002,Coal,Medium,2025-01-02,Daytime,EQP-0879,292,Longwall
EXT-017099,SIT-0002,Coal,Low,2025-07-06,Evening,EQP-0111,788,Auger Mining
EXT-007717,SIT-0002,Coal,Low,2025-12-22,Evening,EQP-0099,791,Block Caving
EXT-007052,SIT-0008,Coal,Medium,2025-12-21,Overnight,EQP-0143,344,Auger Mining
EXT-019327,SIT-0004,Coal,Medium,2025-07-31,Evening,EQP-0440,124,Borehole Mining
EXT-013744,SIT-0001,Silver,Medium,2025-01-26,Daytime,EQP-0443,709,Room and Pillar
EXT-018996,SIT-0002,Copper,High,2025-08-12,Evening,EQP-0094,719,Block Caving
EXT-009019,SIT-0003,Coal,High,2025-09-01,Daytime,EQP-0573,983,Room and Pillar
EXT-014765,SIT-0004,Coal,High,2025-08-31,Evening,EQP-0837,775,Longwall
EXT-016144,SIT-0003,Coal,Medium,2025-04-26,Evening,EQP-0685,160,Top Slicing
EXT-011711,SIT-0002,Coal,Medium,2025-06-03,Daytime,EQP-0989,145,Drift and Fill
EXT-002700,SIT-0002,Gold,Medium,2025-03-20,Evening,EQP-0358,169,Drift and Fill
EXT-010628,SIT-0001,Nickel,High,2025-07-08,Daytime,EQP-0828,613,Top Slicing
EXT-003780,SIT-0004,Coal,Medium,2025-10-05,Daytime,EQP-0218,894,Open-pit
EXT-015940,SIT-0004,Coal,High,2025-04-18,Daytime,EQP-0260,960,Open-pit
EXT-019238,SIT-0002,Coal,Medium,2025-03-02,Overnight,EQP-0575,327,Block Caving
EXT-010987,SIT-0001,Coal,High,2025-03-05,Daytime,EQP-0469,13,Room and Pillar
EXT-006239,SIT-0001,Gold,Medium,2025-06-10,Daytime,EQP-0152,465,Auger Mining
EXT-007964,SIT-0002,Coal,High,2025-11-25,Evening,EQP-0862,260,Underground
EXT-000532,SIT-0002,Iron,Medium,2025-02-21,Daytime,EQP-0544,210,Borehole Mining
EXT-008882,SIT-0002,Coal,Medium,2025-07-18,Daytime,EQP-0367,826,Room and Pillar
EXT-003839,SIT-0004,Copper,Low,2025-04-16,Overnight,EQP-0067,99,Longwall
EXT-007225,SIT-0004,Manganese,Medium,2025-06-08,Daytime,EQP-0555,817,Borehole Mining
EXT-012192,SIT-0002,Coal,High,2025-08-19,Evening,EQP-0484,176,Room and Pillar
EXT-005587,SIT-0003,Coal,High,2025-05-31,Daytime,EQP-0591,916,Longwall
EXT-010897,SIT-0002,Coal,High,2025-05-06,Overnight,EQP-0511,881,Longwall
EXT-013964,SIT-0005,Coal,Low,2025-11-08,Daytime,EQP-0308,394,Top Slicing
EXT-002038,SIT-0003,Coal,Low,2025-01-30,Overnight,EQP-0646,811,Top Slicing
EXT-003297,SIT-0002,Coal,Low,2025-08-21,Overnight,EQP-0153,942,Sublevel Stoping
EXT-004796,SIT-0001,Coal,High,2025-07-15,Daytime,EQP-0804,336,Top Slicing
EXT-007169,SIT-0003,Nickel,Medium,2025-02-22,Daytime,EQP-0125,83,Longwall
EXT-001483,SIT-0003,Iron,Medium,2025-07-11,Daytime,EQP-0487,170,Underground
EXT-018805,SIT-0001,Coal,High,2025-10-30,Daytime,EQP-0458,742,Auger Mining
EXT-017505,SIT-0001,Coal,Medium,2025-06-20,Daytime,EQP-0366,885,Block Caving
EXT-019732,SIT-0003,Coal,High,2025-03-25,Evening,EQP-0939,615,Open-pit
EXT-002425,SIT-0003,Coal,Low,2025-05-23,Overnight,EQP-0879,339,Drift and Fill
EXT-000875,SIT-0001,Gold,High,2025-03-22,Daytime,EQP-0130,985,Top Slicing
EXT-004078,SIT-0001,Coal,High,2025-08-31,Evening,EQP-0852,733,Underground
EXT-006178,SIT-0001,Coal,High,2025-02-01,Overnight,EQP-0871,463,Sublevel Stoping
EXT-018873,SIT-0002,Coal,Medium,2025-03-01,Daytime,EQP-0968,477,Longwall
EXT-003923,SIT-0002,Iron,Low,2025-08-13,Overnight,EQP-0591,34,Open-pit
EXT-012820,SIT-0003,Manganese,Medium,2025-09-23,Evening,EQP-0566,291,Room and Pillar
EXT-003000,SIT-0003,Silver,High,2025-05-11,Overnight,EQP-0837,538,Sublevel Stoping
EXT-012129,SIT-0002,Nickel,Medium,2025-06-15,Evening,EQP-0842,880,Drift and Fill
EXT-003803,SIT-0003,Gold,Medium,2025-02-28,Daytime,EQP-0451,18,Top Slicing
EXT-001193,SIT-0002,Coal,Medium,2025-11-26,Evening,EQP-0147,265,Open-pit
EXT-019842,SIT-0001,Coal,High,2025-10-14,Overnight,EQP-0955,303,Underground
EXT-000709,SIT-0002,Diamond,Medium,2025-06-30,Evening,EQP-0768,311,Open-pit
EXT-006377,SIT-0009,Coal,Medium,2025-05-19,Daytime,EQP-0783,484,Longwall
EXT-006062,SIT-0001,Coal,Medium,2025-10-14,Evening,EQP-0461,47,Room and Pillar
EXT-004060,SIT-0006,Coal,Low,2025-03-19,Evening,EQP-0759,939,Drift and Fill
EXT-015704,SIT-0002,Coal,High,2025-01-03,Daytime,EQP-0898,656,Top Slicing
EXT-006901,SIT-0002,Coal,High,2025-06-18,Daytime,EQP-0943,998,Open-pit
EXT-002002,SIT-0002,Coal,High,2025-05-27,Overnight,EQP-0474,638,Sublevel Stoping
EXT-000747,SIT-0002,Coal,Medium,2025-07-18,Daytime,EQP-0498,870,Underground
EXT-017834,SIT-0006,Coal,Medium,2025-08-04,Daytime,EQP-0240,820,Top Slicing
EXT-013947,SIT-0001,Iron,High,2025-02-17,Daytime,EQP-0053,628,Room and Pillar
EXT-003326,SIT-0003,Gold,Medium,2025-01-23,Evening,EQP-0250,126,Underground
EXT-008518,SIT-0002,Copper,Medium,2025-04-25,Overnight,EQP-0230,958,Auger Mining
EXT-002294,SIT-0003,Iron,Medium,2025-06-25,Evening,EQP-0484,211,Auger Mining
EXT-007237,SIT-0004,Coal,Medium,2025-09-29,Evening,EQP-0261,233,Sublevel Stoping
EXT-002359,SIT-0001,Coal,Medium,2025-08-01,Evening,EQP-0503,758,Sublevel Stoping
EXT-009866,SIT-0001,Coal,High,2025-02-06,Evening,EQP-0011,345,Room and Pillar
EXT-011479,SIT-0005,Coal,Medium,2025-05-08,Daytime,EQP-0341,269,Open-pit
EXT-014290,SIT-0002,Iron,Low,2025-09-25,Evening,EQP-0827,38,Block Caving
EXT-005909,SIT-0002,Coal,Medium,2025-08-08,Daytime,EQP-0648,697,Block Caving
EXT-002001,SIT-0004,Silver,Medium,2025-02-27,Daytime,EQP-0545,595,Room and Pillar
EXT-016504,SIT-0004,Coal,High,2025-06-10,Daytime,EQP-0219,713,Longwall
EXT-015307,SIT-0003,Gold,Low,2025-12-05,Evening,EQP-0336,776,Auger Mining
EXT-001291,SIT-0002,Coal,Medium,2025-08-03,Daytime,EQP-0016,291,Room and Pillar
EXT-019546,SIT-0002,Coal,Medium,2025-02-06,Daytime,EQP-0187,233,Longwall
EXT-003307,SIT-0002,Coal,Medium,2025-04-10,Daytime,EQP-0740,270,Drift and Fill
EXT-019906,SIT-0003,Coal,Medium,2025-04-16,Daytime,EQP-0071,927,Block Caving
EXT-006533,SIT-0004,Coal,Medium,2025-06-28,Daytime,EQP-0004,134,Underground
EXT-008525,SIT-0002,Coal,Medium,2025-05-31,Overnight,EQP-0329,461,Drift and Fill
EXT-011750,SIT-0004,Silver,High,2025-12-28,Overnight,EQP-0948,373,Room and Pillar
EXT-015409,SIT-0004,Coal,Low,2025-10-30,Evening,EQP-0459,640,Block Caving
EXT-018671,SIT-0004,Coal,Medium,2025-06-05,Daytime,EQP-0179,472,Borehole Mining
EXT-005552,SIT-0003,Coal,High,2025-08-04,Daytime,EQP-0772,795,Longwall
EXT-006666,SIT-0003,Coal,Low,2025-06-01,Evening,EQP-0583,564,Open-pit
EXT-001903,SIT-0004,Iron,Medium,2025-05-12,Overnight,EQP-0446,723,Longwall
EXT-005185,SIT-0007,Coal,High,2025-11-14,Evening,EQP-0067,173,Sublevel Stoping
EXT-005307,SIT-0001,Coal,High,2025-05-13,Daytime,EQP-0242,560,Drift and Fill
EXT-011217,SIT-0003,Coal,High,2025-07-14,Daytime,EQP-0788,53,Underground
EXT-017350,SIT-0002,Coal,Low,2025-02-04,Evening,EQP-0118,239,Sublevel Stoping
EXT-008215,SIT-0002,Coal,High,2025-12-08,Overnight,EQP-0462,830,Underground
EXT-003841,SIT-0001,Coal,Medium,2025-07-26,Evening,EQP-0184,807,Drift and Fill
EXT-019556,SIT-0003,Coal,Medium,2025-09-15,Daytime,EQP-0121,769,Underground
EXT-014494,SIT-0001,Gold,Medium,2025-04-24,Daytime,EQP-0623,603,Open-pit
EXT-005729,SIT-0004,Coal,Medium,2025-03-13,Evening,EQP-0145,377,Borehole Mining
EXT-000433,SIT-0004,Coal,Medium,2025-02-01,Overnight,EQP-0658,431,Room and Pillar
EXT-015455,SIT-0002,Gold,High,2025-04-03,Evening,EQP-0896,84,Room and Pillar
EXT-013432,SIT-0003,Coal,Low,2025-03-29,Daytime,EQP-0070,454,Sublevel Stoping
EXT-018649,SIT-0002,Coal,Low,2025-01-16,Daytime,EQP-0937,531,Drift and Fill
EXT-016666,SIT-0001,Coal,Low,2025-02-01,Daytime,EQP-0509,467,Auger Mining
EXT-010206,SIT-0005,Diamond,Medium,2025-08-04,Evening,EQP-0919,688,Open-pit
EXT-011704,SIT-0004,Coal,Medium,2025-02-04,Daytime,EQP-0996,839,Sublevel Stoping
EXT-012736,SIT-0001,Coal,High,2025-09-23,Daytime,EQP-0057,103,Block Caving
EXT-008223,SIT-0001,Coal,Medium,2025-08-31,Daytime,EQP-0675,81,Sublevel Stoping
EXT-005028,SIT-0003,Coal,Low,2025-02-27,Evening,EQP-0803,561,Open-pit
EXT-018370,SIT-0004,Copper,Medium,2025-12-30,Overnight,EQP-0321,496,Drift and Fill
EXT-000408,SIT-0004,Iron,Medium,2025-06-29,Overnight,EQP-0566,291,Sublevel Stoping
EXT-015007,SIT-0008,Coal,Medium,2025-10-30,Overnight,EQP-0962,532,Open-pit
EXT-002592,SIT-0001,Coal,High,2025-03-12,Daytime,EQP-0133,295,Open-pit
EXT-011008,SIT-0003,Coal,Medium,2025-01-07,Overnight,EQP-0504,938,Block Caving
EXT-001498,SIT-0002,Iron,High,2025-01-29,Overnight,EQP-0083,653,Block Caving
EXT-017837,SIT-0003,Iron,Medium,2025-06-12,Overnight,EQP-0448,304,Block Caving
EXT-009204,SIT-0004,Coal,Medium,2025-07-31,Overnight,EQP-0394,737,Top Slicing
EXT-004419,SIT-0008,Silver,High,2025-04-10,Overnight,EQP-0794,199,Room and Pillar
EXT-007869,SIT-0003,Copper,Medium,2025-12-15,Daytime,EQP-0551,904,Open-pit
EXT-015789,SIT-0003,Iron,Medium,2025-12-25,Daytime,EQP-0520,846,Block Caving
EXT-011542,SIT-0003,Nickel,Medium,2025-09-10,Overnight,EQP-0496,816,Longwall
EXT-009434,SIT-0004,Coal,Medium,2025-06-09,Daytime,EQP-0453,278,Borehole Mining
EXT-011771,SIT-0001,Iron,Medium,2025-06-19,Overnight,EQP-0300,272,Underground
EXT-019343,SIT-0004,Coal,Medium,2025-08-01,Evening,EQP-0494,369,Sublevel Stoping
EXT-004337,SIT-0003,Copper,High,2025-12-01,Overnight,EQP-0400,718,Drift and Fill
EXT-010168,SIT-0009,Coal,High,2025-04-07,Evening,EQP-0651,297,Top Slicing
EXT-012715,SIT-0002,Coal,Medium,2025-03-16,Evening,EQP-0960,886,Open-pit
EXT-013580,SIT-0002,Nickel,Medium,2025-10-24,Evening,EQP-0155,409,Borehole Mining
EXT-002646,SIT-0006,Copper,Medium,2025-01-19,Evening,EQP-0709,285,Sublevel Stoping
EXT-000050,SIT-0006,Coal,Medium,2025-12-15,Evening,EQP-0877,486,Underground
EXT-019484,SIT-0004,Iron,High,2025-06-28,Evening,EQP-0691,823,Block Caving
EXT-006302,SIT-0002,Silver,Medium,2025-06-07,Overnight,EQP-0542,906,Auger Mining
EXT-010958,SIT-0003,Coal,High,2025-10-03,Evening,EQP-0737,274,Open-pit
EXT-005246,SIT-0010,Gold,High,2025-01-19,Daytime,EQP-0395,292,Drift and Fill
EXT-007846,SIT-0003,Copper,High,2025-05-22,Daytime,EQP-0267,926,Room and Pillar
EXT-007311,SIT-0007,Coal,Medium,2025-05-01,Daytime,EQP-0827,921,Longwall
EXT-014685,SIT-0003,Coal,Medium,2025-05-14,Evening,EQP-0708,650,Auger Mining
EXT-012408,SIT-0001,Coal,Low,2025-07-28,Overnight,EQP-0421,216,Block Caving
EXT-018618,SIT-0001,Coal,Medium,2025-05-01,Daytime,EQP-0432,264,Drift and Fill
EXT-019786,SIT-0003,Silver,High,2025-01-11,Evening,EQP-0088,297,Borehole Mining
EXT-001034,SIT-0001,Gold,Medium,2025-10-05,Overnight,EQP-0239,234,Block Caving
EXT-013182,SIT-0001,Coal,High,2025-03-30,Daytime,EQP-0310,171,Longwall
EXT-018595,SIT-0005,Gold,Low,2025-08-16,Overnight,EQP-0046,962,Drift and Fill
EXT-013705,SIT-0003,Coal,Low,2025-06-29,Daytime,EQP-0794,200,Underground
EXT-001533,SIT-0002,Iron,High,2025-06-26,Evening,EQP-0890,52,Drift and Fill
EXT-005429,SIT-0004,Gold,Medium,2025-07-11,Overnight,EQP-0106,869,Underground
EXT-014594,SIT-0003,Coal,Low,2025-08-15,Evening,EQP-0324,90,Drift and Fill
EXT-002094,SIT-0002,Coal,Medium,2025-04-30,Daytime,EQP-0070,521,Sublevel Stoping
EXT-008495,SIT-0001,Gold,Medium,2025-01-28,Daytime,EQP-0623,150,Auger Mining
EXT-005168,SIT-0002,Coal,Medium,2025-05-08,Evening,EQP-0806,64,Underground
EXT-014627,SIT-0002,Coal,High,2025-05-09,Evening,EQP-0011,935,Top Slicing
EXT-017288,SIT-0003,Coal,High,2025-05-29,Evening,EQP-0168,105,Longwall
EXT-015967,SIT-0003,Iron,Low,2025-04-25,Daytime,EQP-0010,793,Drift and Fill
EXT-018397,SIT-0002,Coal,High,2025-04-28,Evening,EQP-0464,577,Sublevel Stoping
EXT-000003,SIT-0007,Iron,Medium,2025-06-30,Overnight,EQP-0538,218,Sublevel Stoping
EXT-001276,SIT-0006,Nickel,High,2025-07-24,Evening,EQP-0072,330,Block Caving
EXT-016207,SIT-0004,Copper,Medium,2025-08-22,Overnight,EQP-0731,223,Room and Pillar
EXT-010681,SIT-0002,Gold,High,2025-02-17,Overnight,EQP-0304,344,Room and Pillar
EXT-010226,SIT-0001,Nickel,High,2025-11-22,Overnight,EQP-0640,861,Drift and Fill
EXT-015300,SIT-0002,Coal,Medium,2025-11-07,Daytime,EQP-0590,390,Sublevel Stoping
EXT-001634,SIT-0002,Copper,High,2025-11-02,Evening,EQP-0834,535,Room and Pillar
EXT-013604,SIT-0001,Gold,Low,2025-05-08,Evening,EQP-0892,388,Borehole Mining
EXT-006161,SIT-0002,Coal,Medium,2025-06-01,Overnight,EQP-0942,639,Longwall
EXT-017976,SIT-0009,Coal,High,2025-06-30,Overnight,EQP-0657,507,Underground
EXT-002736,SIT-0002,Iron,Low,2025-12-16,Overnight,EQP-0303,888,Block Caving
EXT-004277,SIT-0004,Coal,Medium,2025-02-15,Daytime,EQP-0733,884,Room and Pillar
EXT-000483,SIT-0003,Gold,Medium,2025-10-11,Daytime,EQP-0996,989,Sublevel Stoping
EXT-013167,SIT-0001,Coal,Medium,2025-02-03,Evening,EQP-0572,767,Longwall
EXT-013681,SIT-0002,Nickel,Medium,2025-06-03,Overnight,EQP-0949,25,Top Slicing
EXT-010361,SIT-0001,Gold,Low,2025-02-24,Daytime,EQP-0873,249,Open-pit
EXT-000112,SIT-0002,Nickel,Medium,2025-12-19,Overnight,EQP-0596,284,Open-pit
EXT-006997,SIT-0004,Coal,Low,2025-06-29,Daytime,EQP-0369,153,Room and Pillar
EXT-000469,SIT-0001,Coal,High,2025-09-14,Overnight,EQP-0312,336,Underground
EXT-000078,SIT-0003,Copper,Low,2025-01-17,Daytime,EQP-0493,155,Longwall
EXT-017313,SIT-0002,Copper,Low,2025-04-03,Overnight,EQP-0321,111,Open-pit
EXT-003205,SIT-0002,Coal,High,2025-03-28,Overnight,EQP-0703,617,Auger Mining
EXT-006241,SIT-0003,Coal,High,2025-04-01,Daytime,EQP-0517,31,Longwall
EXT-003897,SIT-0004,Coal,Medium,2025-01-21,Evening,EQP-0873,351,Sublevel Stoping
EXT-006505,SIT-0004,Iron,High,2025-03-26,Daytime,EQP-0840,878,Longwall
EXT-009910,SIT-0003,Coal,Medium,2025-01-20,Overnight,EQP-0220,183,Top Slicing
EXT-009175,SIT-0002,Gold,Medium,2025-02-06,Daytime,EQP-0257,229,Top Slicing
EXT-005972,SIT-0001,Iron,Medium,2025-08-01,Evening,EQP-0646,896,Borehole Mining
EXT-003283,SIT-0004,Coal,Medium,2025-11-16,Daytime,EQP-0173,276,Borehole Mining
EXT-015585,SIT-0001,Gold,High,2025-06-17,Overnight,EQP-0732,110,Room and Pillar
EXT-012999,SIT-0010,Coal,High,2025-09-28,Daytime,EQP-0398,122,Drift and Fill
EXT-002666,SIT-0007,Coal,Low,2025-04-25,Evening,EQP-0321,272,Underground
EXT-000716,SIT-0002,Coal,Medium,2025-12-23,Daytime,EQP-0678,191,Drift and Fill
EXT-009002,SIT-0001,Nickel,Medium,2025-07-30,Evening,EQP-0875,207,Open-pit
EXT-014844,SIT-0002,Iron,High,2025-01-20,Daytime,EQP-0088,582,Block Caving
EXT-003794,SIT-0003,Coal,Low,2025-09-12,Evening,EQP-0151,277,Drift and Fill
EXT-008405,SIT-0001,Coal,Medium,2025-03-24,Daytime,EQP-0232,946,Room and Pillar
EXT-004372,SIT-0004,Coal,Medium,2025-02-11,Overnight,EQP-0820,396,Open-pit
EXT-017068,SIT-0002,Nickel,Medium,2025-07-14,Daytime,EQP-0064,993,Room and Pillar
EXT-011373,SIT-0004,Gold,High,2025-07-04,Daytime,EQP-0587,350,Underground
EXT-003772,SIT-0003,Copper,High,2025-02-16,Daytime,EQP-0874,680,Auger Mining
EXT-005061,SIT-0002,Coal,High,2025-03-11,Daytime,EQP-0303,331,Drift and Fill
