EquipmentId,EquipmentType,EquipmentName,Manufacturer,SiteId,Status,FuelType,FirstCommissionedDate,LastMaintenanceDate,NextMaintenanceDate
EQP-0098,Water Cart,WC073,Liebherr,SIT-0001,Decommissioned,Electric,2020-01-03,2020-01-03,2020-07-01
EQP-0634,Mobile Crane,MC551,Liebherr,SIT-0008,Decommissioned,Diesel,2023-10-12,2024-04-09,2024-10-06
EQP-0819,Dump Truck,DT925,Caterpillar,SIT-0006,In Transit,Diesel,2017-01-23,2017-01-23,2017-07-22
EQP-0257,Conveyor,CO512,Hitachi,SIT-0008,Active,Hybrid,2020-10-21,2020-10-21,2021-04-19
EQP-0932,Drill Rig,DR820,Komatsu,SIT-0006,Under Maintenance,Electric,2019-09-20,2019-09-20,2020-03-18
EQP-0546,Water Cart,WC490,John Deere,SIT-0001,Under Maintenance,Diesel,2024-01-19,2024-01-19,2024-07-17
EQP-0723,Light Vehicle,LV877,Caterpillar,SIT-0009,Under Maintenance,Hybrid,2019-02-21,2019-08-20,2020-02-16
EQP-0830,Prime Mover,PM022,Atlas Copco,SIT-0003,In Transit,Diesel,2015-11-19,2015-11-19,2016-05-17
EQP-0617,Grader,GR904,Komatsu,SIT-0007,Decommissioned,Diesel,2022-01-10,2022-01-10,2022-07-09
EQP-0924,Wheel Loader,WL965,Scania,SIT-0010,Under Maintenance,Hybrid,2015-09-29,2016-03-27,2016-09-23
EQP-0151,Mobile Crane,MC857,Scania,SIT-0008,Decommissioned,Electric,2016-07-11,2016-07-11,2017-01-07
EQP-0318,Drill Rig,DR293,kenworth,SIT-0005,Under Maintenance,Electric,2017-02-13,2017-08-12,2018-02-08
EQP-0102,Water Cart,WC552,Hyundai,SIT-0001,Active,Electric,2023-05-26,2023-05-26,2023-11-22
EQP-0748,Bulldozer,BU530,Hyundai,SIT-0010,Decommissioned,Hybrid,2016-02-29,2016-08-27,2017-02-23
EQP-0076,Mobile Crane,MC567,Scania,SIT-0003,Under Maintenance,Electric,2015-01-21,2015-01-21,2015-07-20
EQP-0921,Mobile Crane,MC806,Hitachi,SIT-0006,Under Maintenance,Hybrid,2019-10-26,2019-10-26,2020-04-23
EQP-0871,Excavator,EX935,Komatsu,SIT-0006,In Transit,Hybrid,2016-10-22,2016-10-22,2017-04-20
EQP-0701,Prime Mover,PM891,Komatsu,SIT-0007,Active,Electric,2015-05-03,2015-10-30,2016-04-27
EQP-0339,Light Vehicle,LV338,Atlas Copco,SIT-0004,In Transit,Diesel,2015-11-04,2016-05-02,2016-10-29
EQP-0484,Crusher,CR897,Komatsu,SIT-0009,Active,Diesel,2018-02-16,2018-02-16,2018-08-15
EQP-0574,Water Cart,WC477,Sandvik,SIT-0009,Active,Electric,2019-11-06,2019-11-06,2020-05-04
EQP-0104,Prime Mover,PM298,kenworth,SIT-0008,Under Maintenance,Electric,2020-09-24,2021-03-23,2021-09-19
EQP-0363,Crusher,CR002,Caterpillar,SIT-0007,Active,Diesel,2022-10-14,2023-04-12,2023-10-09
EQP-0445,Excavator,EX481,Sandvik,SIT-0010,Decommissioned,Diesel,2016-02-08,2016-02-08,2016-08-06
EQP-0324,Water Cart,WC028,Scania,SIT-0006,Decommissioned,Electric,2022-06-30,2022-06-30,2022-12-27
EQP-0626,Prime Mover,PM398,Sandvik,SIT-0008,Under Maintenance,Diesel,2018-08-02,2018-08-02,2019-01-29
EQP-0656,Grader,GR330,Scania,SIT-0008,Decommissioned,Hybrid,2022-08-18,2022-08-18,2023-02-14
EQP-0935,Dump Truck,DT963,John Deere,SIT-0001,Decommissioned,Diesel,2015-03-11,2015-03-11,2015-09-07
EQP-0210,Water Cart,WC796,Sandvik,SIT-0008,Decommissioned,Diesel,2020-03-01,2020-03-01,2020-08-28
EQP-0566,Haul Truck,HT453,John Deere,SIT-0008,Active,Hybrid,2016-05-20,2016-05-20,2016-11-16
EQP-0985,Haul Truck,HT029,John Deere,SIT-0005,Under Maintenance,Hybrid,2020-03-26,2020-03-26,2020-09-22
EQP-0454,Bulldozer,BU734,Liebherr,SIT-0002,In Transit,Hybrid,2022-02-10,2022-02-10,2022-08-09
EQP-0887,Dump Truck,DT351,Komatsu,SIT-0008,In Transit,Hybrid,2018-11-23,2019-05-22,2019-11-18
EQP-0534,Crusher,CR755,Scania,SIT-0001,Under Maintenance,Diesel,2023-07-01,2023-07-01,2023-12-28
EQP-0267,Drill Rig,DR612,Atlas Copco,SIT-0007,Under Maintenance,Diesel,2019-01-08,2019-01-08,2019-07-07
EQP-0064,Crusher,CR993,Komatsu,SIT-0006,Under Maintenance,Electric,2022-08-03,2022-08-03,2023-01-30
EQP-0825,Dump Truck,DT572,John Deere,SIT-0005,Decommissioned,Hybrid,2020-07-22,2020-07-22,2021-01-18
EQP-0562,Drill Rig,DR913,Sandvik,SIT-0010,Active,Hybrid,2019-03-21,2019-03-21,2019-09-17
EQP-0015,Drill Rig,DR245,Sandvik,SIT-0002,Decommissioned,Diesel,2023-04-08,2023-04-08,2023-10-05
EQP-0096,Grader,GR030,Caterpillar,SIT-0010,Decommissioned,Hybrid,2021-05-26,2021-05-26,2021-11-22
EQP-0737,Dump Truck,DT984,Caterpillar,SIT-0007,Active,Hybrid,2024-07-10,2025-01-06,2025-07-05
EQP-0861,Excavator,EX479,Komatsu,SIT-0005,Active,Electric,2021-11-25,2021-11-25,2022-05-24
EQP-0409,Haul Truck,HT686,Caterpillar,SIT-0009,Decommissioned,Hybrid,2019-06-23,2019-06-23,2019-12-20
EQP-0728,Conveyor,CO598,Scania,SIT-0001,Active,Hybrid,2023-06-06,2023-12-03,2024-05-31
EQP-0845,Bulldozer,BU951,Liebherr,SIT-0005,Active,Electric,2019-02-28,2019-02-28,2019-08-27
EQP-0804,Dump Truck,DT164,John Deere,SIT-0001,Active,Electric,2015-01-18,2015-01-18,2015-07-17
EQP-0685,Prime Mover,PM919,Hitachi,SIT-0002,Decommissioned,Electric,2020-02-05,2020-08-03,2021-01-30
EQP-0641,Water Cart,WC489,Sandvik,SIT-0005,Decommissioned,Hybrid,2015-01-17,2015-01-17,2015-07-16
EQP-0002,Bulldozer,BU559,Sandvik,SIT-0010,Under Maintenance,Electric,2022-07-24,2023-01-20,2023-07-19
EQP-0627,Bulldozer,BU081,Hyundai,SIT-0002,Decommissioned,Hybrid,2015-07-29,2015-07-29,2016-01-25
EQP-0506,Forklift,FO888,John Deere,SIT-0007,In Transit,Diesel,2023-07-18,2023-07-18,2024-01-14
EQP-0848,Light Vehicle,LV788,Hyundai,SIT-0009,Active,Electric,2023-02-09,2023-02-09,2023-08-08
EQP-0889,Bulldozer,BU254,Hyundai,SIT-0009,Active,Hybrid,2019-04-09,2019-04-09,2019-10-06
EQP-0342,Crusher,CR162,Hyundai,SIT-0003,In Transit,Diesel,2018-11-17,2018-11-17,2019-05-16
EQP-0250,Mobile Crane,MC893,Hyundai,SIT-0003,In Transit,Diesel,2024-07-08,2024-07-08,2025-01-04
EQP-0961,Drill Rig,DR587,Hitachi,SIT-0006,Under Maintenance,Diesel,2023-03-14,2023-03-14,2023-09-10
EQP-0334,Mobile Crane,MC390,Komatsu,SIT-0006,Under Maintenance,Hybrid,2021-07-03,2021-07-03,2021-12-30
EQP-0721,Prime Mover,PM104,Atlas Copco,SIT-0010,Active,Electric,2024-08-27,2024-08-27,2025-02-23
EQP-0892,Water Cart,WC509,Caterpillar,SIT-0009,Under Maintenance,Electric,2024-03-23,2024-03-23,2024-09-19
EQP-0065,Grader,GR569,Hitachi,SIT-0007,Under Maintenance,Diesel,2016-11-15,2016-11-15,2017-05-14
EQP-0196,Dump Truck,DT733,Caterpillar,SIT-0010,Active,Diesel,2020-05-04,2020-05-04,2020-10-31
EQP-0582,Light Vehicle,LV058,Hitachi,SIT-0006,In Transit,Hybrid,2020-07-03,2020-07-03,2020-12-30
EQP-0228,Crusher,CR941,Hyundai,SIT-0005,Active,Hybrid,2022-12-15,2023-06-13,2023-12-10
EQP-0245,Light Vehicle,LV514,Sandvik,SIT-0009,Active,Hybrid,2018-04-20,2018-04-20,2018-10-17
EQP-0823,Forklift,FO568,John Deere,SIT-0001,Decommissioned,Diesel,2020-09-09,2020-09-09,2021-03-08
EQP-0146,Conveyor,CO068,Atlas Copco,SIT-0001,In Transit,Diesel,2021-01-24,2021-01-24,2021-07-23
EQP-0910,Wheel Loader,WL117,Komatsu,SIT-0007,Under Maintenance,Electric,2022-08-08,2022-08-08,2023-02-04
EQP-0557,Grader,GR960,Hyundai,SIT-0006,In Transit,Diesel,2023-07-28,2024-01-24,2024-07-22
EQP-0459,Crusher,CR153,Scania,SIT-0004,In Transit,Electric,2022-08-26,2022-08-26,2023-02-22
EQP-0094,Dump Truck,DT041,Liebherr,SIT-0006,In Transit,Hybrid,2023-03-03,2023-03-03,2023-08-30
EQP-0083,Wheel Loader,WL214,Sandvik,SIT-0003,Under Maintenance,Electric,2020-01-10,2020-07-08,2021-01-04
EQP-0328,Excavator,EX151,Liebherr,SIT-0009,In Transit,Hybrid,2020-10-24,2020-10-24,2021-04-22
EQP-0897,Excavator,EX650,Atlas Copco,SIT-0008,Active,Electric,2021-12-18,2021-12-18,2022-06-16
EQP-0521,Dump Truck,DT971,Hitachi,SIT-0005,Under Maintenance,Electric,2020-05-21,2020-05-21,2020-11-17
EQP-0502,Haul Truck,HT558,kenworth,SIT-0007,Decommissioned,Electric,2019-08-07,2020-02-03,2020-08-01
EQP-0112,Mobile Crane,MC614,kenworth,SIT-0003,Active,Hybrid,2016-05-12,2016-05-12,2016-11-08
EQP-0309,Dump Truck,DT102,Sandvik,SIT-0006,Under Maintenance,Hybrid,2023-10-15,2024-04-12,2024-10-09
EQP-0565,Forklift,FO786,Hitachi,SIT-0008,Decommissioned,Electric,2021-12-01,2021-12-01,2022-05-30
EQP-0299,Bulldozer,BU611,kenworth,SIT-0003,Under Maintenance,Hybrid,2022-06-19,2022-06-19,2022-12-16
EQP-0724,Grader,GR406,Sandvik,SIT-0010,Decommissioned,Hybrid,2019-04-14,2019-04-14,2019-10-11
EQP-0128,Drill Rig,DR836,Hyundai,SIT-0001,Decommissioned,Hybrid,2017-09-04,2018-03-03,2018-08-30
EQP-0561,Crusher,CR024,Atlas Copco,SIT-0002,In Transit,Hybrid,2015-07-22,2016-01-18,2016-07-16
EQP-0341,Dump Truck,DT549,Caterpillar,SIT-0009,In Transit,Hybrid,2020-03-21,2020-03-21,2020-09-17
EQP-0835,Crusher,CR363,Hyundai,SIT-0010,Active,Hybrid,2015-11-08,2015-11-08,2016-05-06
EQP-0554,Excavator,EX389,Scania,SIT-0004,Decommissioned,Hybrid,2019-03-07,2019-09-03,2020-03-01
EQP-0209,Conveyor,CO618,Scania,SIT-0010,In Transit,Diesel,2024-05-27,2024-05-27,2024-11-23
EQP-0972,Crusher,CR773,John Deere,SIT-0004,Decommissioned,Electric,2015-09-04,2016-03-02,2016-08-29
EQP-0618,Bulldozer,BU897,Atlas Copco,SIT-0005,In Transit,Electric,2020-04-14,2020-04-14,2020-10-11
EQP-0893,Dump Truck,DT565,Sandvik,SIT-0006,In Transit,Diesel,2017-10-25,2018-04-23,2018-10-20
EQP-0602,Drill Rig,DR655,Liebherr,SIT-0004,Under Maintenance,Diesel,2016-06-09,2016-06-09,2016-12-06
EQP-0295,Light Vehicle,LV849,Hitachi,SIT-0007,Decommissioned,Electric,2020-05-29,2020-05-29,2020-11-25
EQP-0456,Crusher,CR427,Liebherr,SIT-0003,Decommissioned,Hybrid,2019-09-26,2020-03-24,2020-09-20
EQP-0905,Bulldozer,BU465,Liebherr,SIT-0010,Active,Electric,2021-07-22,2022-01-18,2022-07-17
EQP-0611,Excavator,EX586,Atlas Copco,SIT-0007,Active,Diesel,2019-05-08,2019-05-08,2019-11-04
EQP-0818,Excavator,EX728,Sandvik,SIT-0002,In Transit,Electric,2022-07-30,2022-07-30,2023-01-26
EQP-0999,Bulldozer,BU132,Komatsu,SIT-0005,Decommissioned,Electric,2019-11-14,2019-11-14,2020-05-12
EQP-0325,Excavator,EX518,Liebherr,SIT-0009,Active,Diesel,2020-07-02,2020-07-02,2020-12-29
EQP-0590,Conveyor,CO101,Hitachi,SIT-0002,Decommissioned,Diesel,2020-12-06,2020-12-06,2021-06-04
EQP-0248,Crusher,CR989,Hitachi,SIT-0003,Active,Hybrid,2018-08-02,2019-01-29,2019-07-28
EQP-0298,Light Vehicle,LV144,Liebherr,SIT-0006,Active,Electric,2023-04-14,2023-04-14,2023-10-11
EQP-0189,Grader,GR960,Caterpillar,SIT-0002,Under Maintenance,Diesel,2016-08-25,2016-08-25,2017-02-21
EQP-0194,Forklift,FO848,Caterpillar,SIT-0008,Decommissioned,Diesel,2022-10-08,2022-10-08,2023-04-06
EQP-0842,Grader,GR979,kenworth,SIT-0003,In Transit,Diesel,2021-06-13,2021-12-10,2022-06-08
EQP-0192,Crusher,CR628,Caterpillar,SIT-0005,Under Maintenance,Hybrid,2017-02-19,2017-02-19,2017-08-18
EQP-0034,Forklift,FO065,Caterpillar,SIT-0005,Under Maintenance,Diesel,2023-04-24,2023-04-24,2023-10-21
EQP-0628,Haul Truck,HT766,Hitachi,SIT-0004,Decommissioned,Diesel,2015-08-20,2016-02-16,2016-08-14
EQP-0673,Dump Truck,DT757,Atlas Copco,SIT-0006,Active,Electric,2021-05-24,2021-05-24,2021-11-20
EQP-0940,Mobile Crane,MC566,Sandvik,SIT-0002,Active,Diesel,2023-09-10,2023-09-10,2024-03-08
EQP-0488,Prime Mover,PM464,Hyundai,SIT-0006,Decommissioned,Diesel,2022-12-03,2022-12-03,2023-06-01
EQP-0071,Forklift,FO524,Caterpillar,SIT-0010,Under Maintenance,Electric,2015-02-23,2015-02-23,2015-08-22
EQP-0092,Prime Mover,PM949,John Deere,SIT-0007,Under Maintenance,Electric,2023-08-21,2023-08-21,2024-02-17
EQP-0696,Wheel Loader,WL050,John Deere,SIT-0001,In Transit,Electric,2019-08-16,2019-08-16,2020-02-12
EQP-0776,Excavator,EX986,Hitachi,SIT-0008,In Transit,Hybrid,2019-08-23,2019-08-23,2020-02-19
EQP-0134,Conveyor,CO347,Komatsu,SIT-0010,Decommissioned,Diesel,2024-07-20,2025-01-16,2025-07-15
EQP-0154,Dump Truck,DT130,Liebherr,SIT-0006,Under Maintenance,Hybrid,2018-01-05,2018-07-04,2018-12-31
EQP-0040,Haul Truck,HT766,Komatsu,SIT-0007,In Transit,Diesel,2020-10-05,2021-04-03,2021-09-30
EQP-0904,Forklift,FO491,Atlas Copco,SIT-0004,Active,Electric,2018-08-08,2019-02-04,2019-08-03
EQP-0717,Conveyor,CO664,Liebherr,SIT-0009,Under Maintenance,Diesel,2021-07-20,2021-07-20,2022-01-16
EQP-0987,Conveyor,CO122,Hyundai,SIT-0003,Under Maintenance,Electric,2017-02-16,2017-02-16,2017-08-15
EQP-0890,Conveyor,CO963,kenworth,SIT-0008,Under Maintenance,Diesel,2019-02-20,2019-08-19,2020-02-15
EQP-0700,Conveyor,CO944,Scania,SIT-0003,Under Maintenance,Electric,2024-05-11,2024-11-07,2025-05-06
EQP-0401,Prime Mover,PM973,Hyundai,SIT-0006,Decommissioned,Diesel,2015-09-09,2015-09-09,2016-03-07
EQP-0968,Light Vehicle,LV848,Atlas Copco,SIT-0002,Active,Hybrid,2021-01-02,2021-01-02,2021-07-01
EQP-0538,Prime Mover,PM424,Atlas Copco,SIT-0010,Active,Diesel,2021-06-03,2021-06-03,2021-11-30
EQP-0283,Dump Truck,DT904,Caterpillar,SIT-0002,In Transit,Hybrid,2016-03-01,2016-03-01,2016-08-28
EQP-0535,Dump Truck,DT285,Caterpillar,SIT-0010,In Transit,Diesel,2023-04-03,2023-09-30,2024-03-28
EQP-0832,Forklift,FO130,Scania,SIT-0010,Under Maintenance,Diesel,2022-08-02,2022-08-02,2023-01-29
EQP-0242,Dump Truck,DT432,Sandvik,SIT-0005,Under Maintenance,Hybrid,2018-09-21,2018-09-21,2019-03-20
EQP-0221,Light Vehicle,LV023,Hitachi,SIT-0005,Decommissioned,Diesel,2018-06-02,2018-11-29,2019-05-28
EQP-0863,Mobile Crane,MC169,Caterpillar,SIT-0008,Active,Diesel,2017-04-16,2017-10-13,2018-04-11
EQP-0604,Crusher,CR099,Caterpillar,SIT-0008,Active,Hybrid,2019-08-17,2019-08-17,2020-02-13
EQP-0430,Water Cart,WC024,Hitachi,SIT-0006,Under Maintenance,Hybrid,2021-05-05,2021-05-05,2021-11-01
EQP-0594,Bulldozer,BU417,Sandvik,SIT-0001,Decommissioned,Hybrid,2019-02-10,2019-08-09,2020-02-05
EQP-0282,Bulldozer,BU162,Atlas Copco,SIT-0003,In Transit,Diesel,2023-07-28,2023-07-28,2024-01-24
EQP-0462,Drill Rig,DR774,kenworth,SIT-0005,Active,Electric,2021-06-07,2021-12-04,2022-06-02
EQP-0505,Forklift,FO046,Caterpillar,SIT-0004,Decommissioned,Hybrid,2024-06-13,2024-12-10,2025-06-08
EQP-0677,Conveyor,CO784,John Deere,SIT-0006,In Transit,Hybrid,2024-08-20,2025-02-16,2025-08-15
EQP-0657,Excavator,EX128,Liebherr,SIT-0009,Under Maintenance,Electric,2023-12-12,2023-12-12,2024-06-09
EQP-0718,Light Vehicle,LV638,Komatsu,SIT-0009,Under Maintenance,Electric,2017-11-04,2017-11-04,2018-05-03
EQP-0813,Excavator,EX590,Komatsu,SIT-0006,In Transit,Diesel,2015-01-21,2015-01-21,2015-07-20
EQP-0366,Crusher,CR302,Liebherr,SIT-0007,Decommissioned,Diesel,2018-02-21,2018-08-20,2019-02-16
EQP-0085,Wheel Loader,WL334,Scania,SIT-0001,In Transit,Diesel,2015-06-19,2015-06-19,2015-12-16
EQP-0333,Bulldozer,BU184,kenworth,SIT-0004,Under Maintenance,Electric,2016-07-27,2016-07-27,2017-01-23
EQP-0869,Bulldozer,BU615,Hitachi,SIT-0005,Under Maintenance,Electric,2021-12-01,2021-12-01,2022-05-30
EQP-0119,Bulldozer,BU974,Atlas Copco,SIT-0002,In Transit,Electric,2016-03-23,2016-03-23,2016-09-19
EQP-0499,Light Vehicle,LV813,Liebherr,SIT-0007,Active,Electric,2016-01-24,2016-07-22,2017-01-18
EQP-0885,Prime Mover,PM804,Hyundai,SIT-0008,Active,Electric,2018-10-03,2018-10-03,2019-04-01
EQP-0646,Prime Mover,PM748,Scania,SIT-0008,In Transit,Electric,2024-05-30,2024-11-26,2025-05-25
EQP-0344,Drill Rig,DR811,Liebherr,SIT-0009,Active,Hybrid,2022-04-20,2022-10-17,2023-04-15
EQP-0195,Crusher,CR092,Sandvik,SIT-0009,Active,Hybrid,2016-03-25,2016-03-25,2016-09-21
EQP-0249,Crusher,CR098,Scania,SIT-0008,Active,Hybrid,2023-03-27,2023-03-27,2023-09-23
EQP-0017,Grader,GR431,John Deere,SIT-0005,In Transit,Diesel,2016-04-21,2016-04-21,2016-10-18
EQP-0750,Mobile Crane,MC187,Liebherr,SIT-0008,Decommissioned,Diesel,2015-08-12,2016-02-08,2016-08-06
EQP-0278,Water Cart,WC369,Hitachi,SIT-0007,Under Maintenance,Diesel,2021-03-06,2021-03-06,2021-09-02
EQP-0120,Drill Rig,DR359,John Deere,SIT-0009,Decommissioned,Electric,2020-09-14,2021-03-13,2021-09-09
EQP-0852,Drill Rig,DR251,Scania,SIT-0008,Decommissioned,Hybrid,2023-08-15,2024-02-11,2024-08-09
EQP-0226,Forklift,FO616,Komatsu,SIT-0006,Decommissioned,Electric,2019-05-17,2019-05-17,2019-11-13
EQP-0381,Drill Rig,DR791,Atlas Copco,SIT-0008,Decommissioned,Diesel,2023-07-29,2023-07-29,2024-01-25
EQP-0814,Wheel Loader,WL343,kenworth,SIT-0007,Active,Electric,2018-04-01,2018-09-28,2019-03-27
EQP-0175,Light Vehicle,LV131,Hyundai,SIT-0003,Under Maintenance,Diesel,2015-05-06,2015-11-02,2016-04-30
EQP-0916,Conveyor,CO797,Caterpillar,SIT-0010,In Transit,Diesel,2024-08-12,2024-08-12,2025-02-08
EQP-0437,Prime Mover,PM613,Hitachi,SIT-0003,Active,Diesel,2020-08-20,2020-08-20,2021-02-16
EQP-0939,Wheel Loader,WL502,John Deere,SIT-0006,In Transit,Diesel,2015-07-21,2015-07-21,2016-01-17
EQP-0953,Crusher,CR594,Scania,SIT-0002,Under Maintenance,Hybrid,2021-05-29,2021-11-25,2022-05-24
EQP-0802,Excavator,EX449,Komatsu,SIT-0010,Decommissioned,Diesel,2015-07-21,2015-07-21,2016-01-17
EQP-0150,Crusher,CR683,John Deere,SIT-0009,Active,Diesel,2020-04-11,2020-04-11,2020-10-08
EQP-0715,Dump Truck,DT584,Hyundai,SIT-0003,Under Maintenance,Diesel,2015-03-10,2015-03-10,2015-09-06
EQP-0225,Light Vehicle,LV026,Hyundai,SIT-0008,In Transit,Diesel,2017-11-07,2017-11-07,2018-05-06
EQP-0047,Bulldozer,BU972,Caterpillar,SIT-0004,Under Maintenance,Diesel,2018-12-08,2019-06-06,2019-12-03
EQP-0588,Grader,GR604,kenworth,SIT-0003,Under Maintenance,Hybrid,2016-03-05,2016-03-05,2016-09-01
EQP-0650,Wheel Loader,WL053,Scania,SIT-0006,Decommissioned,Diesel,2022-01-17,2022-01-17,2022-07-16
EQP-0548,Water Cart,WC903,Hyundai,SIT-0004,Under Maintenance,Diesel,2016-11-13,2016-11-13,2017-05-12
EQP-0966,Prime Mover,PM816,Atlas Copco,SIT-0001,Active,Hybrid,2022-09-06,2022-09-06,2023-03-05
EQP-0697,Water Cart,WC299,Atlas Copco,SIT-0010,Decommissioned,Electric,2024-05-30,2024-11-26,2025-05-25
EQP-0960,Light Vehicle,LV826,John Deere,SIT-0007,Under Maintenance,Electric,2021-01-07,2021-01-07,2021-07-06
EQP-0028,Bulldozer,BU986,Scania,SIT-0005,In Transit,Hybrid,2017-11-21,2018-05-20,2018-11-16
EQP-0894,Prime Mover,PM562,Sandvik,SIT-0010,Decommissioned,Diesel,2022-10-21,2022-10-21,2023-04-19
EQP-0651,Drill Rig,DR193,Caterpillar,SIT-0001,Decommissioned,Hybrid,2020-05-29,2020-11-25,2021-05-24
EQP-0873,Bulldozer,BU097,Caterpillar,SIT-0007,Active,Diesel,2023-10-06,2024-04-03,2024-09-30
EQP-0621,Excavator,EX147,Hitachi,SIT-0010,Decommissioned,Hybrid,2020-07-29,2020-07-29,2021-01-25
EQP-0877,Forklift,FO665,Hitachi,SIT-0010,In Transit,Hybrid,2022-09-02,2023-03-01,2023-08-28
EQP-0123,Light Vehicle,LV270,Liebherr,SIT-0002,Decommissioned,Electric,2024-04-05,2024-04-05,2024-10-02
EQP-0853,Dump Truck,DT271,kenworth,SIT-0008,Decommissioned,Hybrid,2024-06-04,2024-06-04,2024-12-01
EQP-0882,Bulldozer,BU836,Komatsu,SIT-0005,Decommissioned,Diesel,2022-06-17,2022-12-14,2023-06-12
EQP-0380,Haul Truck,HT297,John Deere,SIT-0010,In Transit,Diesel,2017-08-08,2017-08-08,2018-02-04
EQP-0967,Conveyor,CO210,Scania,SIT-0009,In Transit,Electric,2021-07-15,2022-01-11,2022-07-10
EQP-0038,Wheel Loader,WL650,Atlas Copco,SIT-0003,Active,Diesel,2019-06-27,2019-06-27,2019-12-24
EQP-0795,Forklift,FO639,kenworth,SIT-0010,Decommissioned,Electric,2018-09-11,2018-09-11,2019-03-10
EQP-0023,Dump Truck,DT356,Liebherr,SIT-0005,In Transit,Electric,2018-04-06,2018-04-06,2018-10-03
EQP-0200,Excavator,EX792,Scania,SIT-0006,Decommissioned,Electric,2016-10-24,2016-10-24,2017-04-22
EQP-0190,Conveyor,CO568,John Deere,SIT-0004,Under Maintenance,Electric,2021-05-02,2021-05-02,2021-10-29
EQP-0736,Conveyor,CO114,Hyundai,SIT-0005,Active,Electric,2016-10-09,2016-10-09,2017-04-07
EQP-0127,Water Cart,WC539,Hitachi,SIT-0009,Active,Diesel,2021-02-10,2021-08-09,2022-02-05
EQP-0491,Mobile Crane,MC688,Komatsu,SIT-0003,Active,Diesel,2022-12-16,2023-06-14,2023-12-11
EQP-0216,Crusher,CR970,Hyundai,SIT-0009,Under Maintenance,Hybrid,2024-04-14,2024-04-14,2024-10-11
EQP-0745,Haul Truck,HT602,John Deere,SIT-0004,Decommissioned,Electric,2017-10-18,2017-10-18,2018-04-16
